sp003-000001_RV_03	राज्ञी सुदक्षिणा गर्भमाधत्त इत्युक्तम्
sp003-000002_RV_03	सम्प्रति गर्भलक्षणानि वर्णयितुम् प्रस्तौति
sp003-000003_RV_03	अथेति
sp003-000004_RV_03	अथ गर्भधारणानन्तरम् सुदक्षिणा
sp003-000005_RV_03	उपस्थितोदयम् प्राप्तकालम् भर्तुः दिलीपस्य ईप्सितम् मनोरथम्
sp003-000006_RV_03	भावे क्तः
sp003-000007_RV_03	पुनः सखीजनस्य उद्वीक्षणानाम् दृष्टीनाम् कौमुदीमुखम् चन्द्रिकाप्रादुर्भावम्
sp003-000008_RV_03	यद्वा कौमुदी नाम दीपोत्सवतिथिः
sp003-000009_RV_03	तदुक्तम् भविष्योत्तरे कौ मोदन्ते जनाः यस्याम् तेन असौ कौमुदी मता इति
sp003-000010_RV_03	तस्याः मुखम् प्रारम्भम्
sp003-000011_RV_03	सखीजनोद्वीक्षणकौमुदी इति पाठम् केचित्पठन्ति
sp003-000012_RV_03	इक्ष्वाकुकुलस्य सन्ततेः अविच्छेदस्य निदानम् मूलकारणम्
sp003-000013_RV_03	निदानम् त्वादिकारणम् इत्यमरः
sp003-000014_RV_03	एवम् विधम् दौहृदलक्षणम् गर्भचिह्नम् वक्ष्यमाणम् दधौ
sp003-000015_RV_03	स्वहृदयेन गर्भहृदयेन च द्विहृदया गर्भिणी
sp003-000016_RV_03	यथाह वाग्भटः मातृजम् ह्यस्य हृदयम् मातुश्च हृदयम् तु तत्
sp003-000017_RV_03	सम्बद्धम् तेन गर्भिण्याः श्रेष्ठम् श्रद्धाभिमाननम् इति
sp003-000018_RV_03	तत्सम्बन्धित्वात् गर्भः दौहृदम् इत्युच्यते
sp003-000019_RV_03	सा च तद्योगात् दौहृदिनी इति
sp003-000020_RV_03	तदुक्तम् सङ्ग्रहे द्विहृदयाम् नारीम् दौहृदिनीम् आचक्षते इति
sp003-000021_RV_03	अत्र दौहृदलक्षणस्य ईप्सितत्वेन कौमुदीमुखत्वेन च निरूपणौत् रूपकालङ्कारः
sp003-000022_RV_03	अस्मिन्सर्गे वंशस्थम् वृत्तम् जतौ तु वूंशस्थमुदीरितम् जरौ इति लक्षणात्
sp003-000023_RV_03	सम्प्रति क्षामताख्यम् गर्भलक्षणम् दर्शयति शरीरेति
sp003-000024_RV_03	शरीरस्य सादात् कार्श्यात् असमग्रभूषणा परिमिताभरणा लोध्रपुष्पेणेव पाण्डुना मुखेन उपलक्षिता सा सुदक्षिणा
sp003-000025_RV_03	विचेयाः मृग्याः तारकाः यस्याम् सा तथोक्ता
sp003-000026_RV_03	विरलनक्षत्रा इत्यर्थः
sp003-000027_RV_03	तनुप्रकाशेन अल्पकान्तिना शशिना उपलक्षिता ईषदसमाप्ताप्रभाता प्रभातकल्पा
sp003-000028_RV_03	प्रभातात् ईषदूना इत्यर्थः
sp003-000029_RV_03	तसिलादिष्वा कृत्वसुचः इति प्रभातशब्दस्य पुंवद्भावः
sp003-000030_RV_03	शर्वरी रात्रिरिव
sp003-000031_RV_03	अलक्ष्यत
sp003-000032_RV_03	शरीरसादादिगर्भलक्षणमाह वाग्भटः क्षामता गरिमा कुक्षेः मूर्च्छा छर्दिः अरोचकम्
sp003-000033_RV_03	जृम्भा प्रसेकः सदनम् रोमराज्याः प्रकाशनम् इति
sp003-000034_RV_03	तदिति
sp003-000035_RV_03	क्षितीश्वरः रहसि मृत्सुरभि मृदा सुगन्धि तस्याः आननम् तदाननम् सुदक्षिणामुखम् उपाघ्राय तृप्तिम् न आययौ
sp003-000036_RV_03	कः कमिव
sp003-000037_RV_03	शुचिव्यपाये ग्रीष्मावसाने
sp003-000038_RV_03	शुचिः शुद्धेऽनुपहते शृङ्गाराषाढयोः सिते
sp003-000039_RV_03	ग्रीष्मे हुतवहेऽपि स्यात् उपधाशुद्धमन्त्रिणि
sp003-000040_RV_03	इति विश्वः
sp003-000041_RV_03	पयोमुचाम् मेघानाम् पृषतैः बिन्दुभिः
sp003-000042_RV_03	पृषन्ति बिन्दुपृषताः इत्यमरः
sp003-000043_RV_03	सिक्तम् उक्षितम् वनराज्याः पल्वलम् उपाघ्राय करी गज इव
sp003-000044_RV_03	अत्र करिवनराजिपल्वलानाम् कान्तकामिनीवदनसमाधिः अनुसन्धेयः
sp003-000045_RV_03	गर्भिणीनाम् मृद्भक्षणम् लोकप्रसिद्धमेव
sp003-000046_RV_03	एतेन दोहदाख्यम् गर्भलक्षणम् उच्यते
sp003-000047_RV_03	दोहृदलक्षणे मृद्भक्षणे हेत्वन्तरम् उत्प्रेक्षते दिवमिति
sp003-000048_RV_03	हि यस्मात् दिगन्तविश्रान्तरथः चक्रवर्ती तस्याः सुतः तत्सुतः
sp003-000049_RV_03	मरुत्वान् इन्द्रः
sp003-000050_RV_03	इन्द्रो मरुत्वान्मघवा इत्यमरः
sp003-000051_RV_03	दिवम् स्वर्गम् इव
sp003-000052_RV_03	भुवम् भोक्ष्यते
sp003-000053_RV_03	भुजो अनवने इत्यात्मनेपदम्
sp003-000054_RV_03	अतः प्रथमम् सा सुदक्षिणा तथाविधे भूविकारे मृद्रूपे
sp003-000055_RV_03	अभिलष्यत इत्यभिलाषः भोग्यवस्तु
sp003-000056_RV_03	तस्मिन्
sp003-000057_RV_03	कर्मणि घञ्प्रत्ययः
sp003-000058_RV_03	रस्यन्ते स्वाद्यन्ते इति रसाः भोग्यार्थाः
sp003-000059_RV_03	अन्ये च ते रसाश्च तान्विलङ्घ्य विहाय मनः बबन्ध
sp003-000060_RV_03	विदधौ इत्यर्थः
sp003-000061_RV_03	दोहदहेतुकस्य मृद्भक्षणस्य पुत्रभूभोगसूचनार्थत्वम् उत्प्रेक्षते
sp003-000062_RV_03	नेति
sp003-000063_RV_03	मगधस्य राज्ञः अपत्यम् स्त्री मागधी सुदक्षिणा
sp003-000064_RV_03	द्व्यञ्मगधकलिङ्गसूरमसात् अण् इत्यण्प्रत्ययः
sp003-000065_RV_03	ह्रिया किञ्चित् किमपि ईप्सितम् इष्टम् मे मह्यम् न शंसति न आचष्टे
sp003-000066_RV_03	केषु वस्तुषु स्पृहावतीति अनुवेलम् अनुक्षणम् आदृतः आदृतवान्
sp003-000067_RV_03	कर्तरि क्तः
sp003-000068_RV_03	आदृतौ मादरार्चितौ इत्यमरः
sp003-000069_RV_03	प्रियायाः सखीः सहचरीः उत्तरकोसलेश्वरः दिलीपः पृच्छति स्म पप्रच्छ
sp003-000070_RV_03	लट् स्मे इत्यनेन भूतार्थे लट्
sp003-000071_RV_03	सखीनाम् विश्रम्भभूमित्वात् इति भावः
sp003-000072_RV_03	उपेत्येति
sp003-000073_RV_03	दोहदम् गर्भिणीमनोरथः
sp003-000074_RV_03	दोहदम् दौहृदम् श्रद्धा लालसम् च समम् स्मृतम् इति हलायुधः
sp003-000075_RV_03	सा सुदक्षिणा दोहदेन गर्भिणीमनोरथेन दुःखशीलताम् दुःखस्वभावताम्
sp003-000076_RV_03	उपेत्य प्राप्य यद्वस्तु वव्रे आचकाङ्क्ष तदाहृतम् आनीतम्
sp003-000077_RV_03	भर्त्रा इति शेषः
sp003-000078_RV_03	अपश्यदेव
sp003-000079_RV_03	अलभत इत्यर्थः
sp003-000080_RV_03	कुतः
sp003-000081_RV_03	हि यस्मात् अस्य भूपतेः त्रिदिवे अपि स्वर्गे अपि इष्टम् वस्तु अनासाद्यम् अनवाप्यम् नाभूत्
sp003-000082_RV_03	किम् याच्ञया
sp003-000083_RV_03	न इत्याह अधिज्यधन्वनः इति
sp003-000084_RV_03	न हि वीरपत्नीनाम् अलभ्यम् नाम किञ्चित् अस्तीति भावः
