sp006-000001_GB_00-00	शाङ्करभाष्यम्
sp006-000002_GB_00-00	मरीच्यादीन् अग्रे सृष्ट्वा प्रजापतीन् प्रवृत्तिलक्षणम् धर्मम् ग्राहयामास वेदोक्तम्
sp006-000003_GB_00-00	द्विविधो हि वेदोक्तो धर्मः प्रवृत्तिलक्षणो निवृत्तिलक्षणश्च
sp006-000004_GB_00-00	दीर्घेण कालेन
sp006-000005_GB_00-00	अनुष्ठातॄणाम् कामोद्भवात् हीयमानविवेकविज्ञानहेतुकेन अधर्मेण अभिभूयमाने धर्मे
sp006-000006_GB_00-00	प्रवर्धमाने च अधर्मे जगतः स्थितिम् परिपिपालयिषुः स आदिकर्ता नारायणाख्यो विष्णुः
sp006-000007_GB_00-00	ब्राह्मणत्वस्य हि रक्षणेन रक्षितः स्यात् वैदिको धर्मः तदधीनत्वात् वर्णाश्रमभेदानाम्
sp006-000008_GB_00-00	अजः अव्ययो भूतानामीश्वरो नित्यशुद्धबुद्धमुक्तस्वभावः अपि सन् स्वमायया देहवानिव जात इव च लोकानुग्रहम् कुर्वन् इव लक्ष्यते
sp006-000009_GB_00-00	गुणाधिकैः हि गृहीतः अनुष्ठीयमानश्च धर्मः प्रचयम् गमिष्यतीति
sp006-000010_GB_00-00	तम् धर्मम् भगवता यथोपदिष्टम् वेदव्यासः सर्वज्ञो भगवान् गीताख्यैः सप्तभिः श्लोकशतैः उपनिबबन्ध
sp006-000011_GB_00-00	तदर्थाविष्करणाय अनेकैः विवृतपदपदार्थवाक्यार्थन्यायमपि अत्यन्तविरुद्धानेकार्थवत्वेन लौकिकैः गृह्यमाणम् उपलभ्य
sp006-000012_GB_00-00	अहम् विवेकतः अर्थनिर्धारणार्थम् सङ्क्षेपतो विवरणम् करिष्यामि
sp006-000013_GB_00-00	तस्य अस्य गीताशास्त्रस्य सङ्क्षेपतः प्रयोजनम् परम् निःश्रेयसम् सहेतुकस्य संसारस्य अत्यन्तोपरमलक्षणम्
sp006-000014_GB_00-00	तथा इममेव गीतार्थ धर्मम् उद्दिश्य भगवता एव उक्तम्
sp006-000015_GB_00-00	स हि धर्मः सुपर्याप्तो ब्रह्मणः पदवेदने इति अनुगीतासु
sp006-000016_GB_00-00	किञ्च अन्यदपि तत्रैव उक्तम्
