sp008-000001_SR_01	स मातुः पार्श्वम् प्राप्तः
sp008-000002_SR_01	मातुश्चरणरजांसि तेन मस्तके लिप्तानि उक्तम् च मातः अहमागतः इति
sp008-000003_SR_01	माताऽब्रूत पुत्रक त्वामेव प्रतीक्षमाणास्मि
sp008-000004_SR_01	यमराज आगच्छति
sp008-000005_SR_01	अहमपि प्रोद्यतास्मि
sp008-000006_SR_01	पूर्वमपि स प्राप्त एव किन्तु मया प्रार्थितो मनाग् विरम आगच्छतु मम नारायण इति
sp008-000007_SR_01	रामदासो मातुः शिरः स्वकीये क्रोडेऽधारयत् मुखे गङ्गाजलमपातयत् तुलसीपत्रम् चर्वितम्
sp008-000008_SR_01	रामदासम् निर्निमेषम् पश्यन्त्या नारायण नारायण नारायण इति जपन्त्या च तया इहलोकलीला समापिता
sp008-000009_SR_01	रामदासोऽपि चतुर्दश दिवसान् ग्राम एव व्यतीतवान्
sp008-000010_SR_01	अथ रामेश्वरधाम प्रति प्रतस्थे
sp008-000011_SR_01	मार्गे तेन स्थाने स्थाने मारुतिमन्दिराणि स्थापितानि तेषाम् मठाधिपतयश्च नियोजिताः
sp008-000012_SR_01	व्यायामशाला अपि स्थापिताः
sp008-000013_SR_01	शिवाजिना अफजलखा मृत्युना चर्वितः अवरङ्गजेबस्य निग्रहाच्च आत्मा मोचितः
sp008-000014_SR_01	महदिदम् कार्यद्वयम्
sp008-000015_SR_01	शिवाजीराज्यारोहणम् रामदासस्य महते प्रमोदायाकल्पत
sp008-000016_SR_01	एते प्रसङ्गा रामदासैः स्वयमभङ्गैः उपनिबद्धाः
sp008-000017_SR_01	अफजलखानस्य ग्रीवा व्याघ्रनखैः द्विधा खण्डिता शिवाजिवीरैरिति
sp008-000018_SR_01	महता संरम्भेण व्यासः अम्बिकादत्तः शिवराज्योदयगद्ये निबबन्ध
sp008-000019_SR_01	सख्यसम्पादनाय जयपुराधिपतिनाऽऽकारितः शिवाजिः दिल्लीदुर्गम् प्राप
sp008-000020_SR_01	तत्र अवरङ्गजेबस्तम् निजग्राह
sp008-000021_SR_01	अथ कथयन्ति मिष्टान्नपेटकेषु निभृतः शिवाजिः दुर्गात् बहिरागतः इत्येके
sp008-000022_SR_01	जयपुराधीशस्य सैनिकास्तत्र निभृतम् साहाय्यमाचरन् इति चापरे
sp008-000023_SR_01	दुर्योधनोऽपि शान्तिदूततया उपस्थितम् श्रीकृष्णम् निग्रहीतुम् आदिदेश
sp008-000024_SR_01	किन्तु श्रीकृष्णस्य ऐश्वर्यशक्त्या नाशक्नोत् तम् निग्रहीतुम्
sp008-000025_SR_01	एवम् अलाबुद्दीनखिल्जिः चितिदुर्गस्थम् राणाभीमसिंहम् छलेन निजग्राह
sp008-000026_SR_01	गौरसिंहः तद्भ्रातृव्यो बादलः जालिमसिंहानाम् चातुर्येण तु स दिल्लीदुर्गात् बहिरागन्तुमशकत्
sp008-000027_SR_01	पृथ्वीराजो गजनीशमसकृत् तत्याज
sp008-000028_SR_01	तेन पुन निगृहीतः पृथिवीराजः चक्षुषोस्तप्तानि शूलानि निवेश्य पशुमारम् मारयितुमिष्टः
sp008-000029_SR_01	इयम् हि शुक्रनीतिः यवनैः आशिश्रिये
sp008-000030_SR_01	स्वप्नः सत्यो जातः स प्रत्यक्षम् दृष्टः
sp008-000031_SR_01	यदृच्छया भ्रमितोऽपि आनन्दवनम् प्राप्तः
sp008-000032_SR_01	विघ्नानपाकृत्य धर्मस्य स्वस्य जयः खलु दृष्टः
sp008-000033_SR_01	अत्र वर्त्तते कर्ता धर्ता गणपतिदेवः साक्षात्
