sp010-000001_SR_01	समर्थः स्वामी रामदासः
sp010-000002_SR_01	व्यतीतानि सार्धत्रीणि वर्षशतानाम् एकः षट्त्रिंशद्वर्षदेशीयस्तरुणः सन्न्यासी चाफल नाम्नि ग्रामे प्राविशत्
sp010-000003_SR_01	चाफलनामा ग्रामोऽयमस्ति स्थितः सतारामण्डलस्य माण्ड नद्यास्तीरे
sp010-000004_SR_01	गृहस्य द्वारि स्थित्वा तारेण स्वरेण स श्लोकमेकम् उदीरयति
sp010-000005_SR_01	सदा सर्वदा भवत प्रीता रामे
sp010-000006_SR_01	सदानन्दयश श्री परिपूरिताश्च भवत
sp010-000007_SR_01	दुःखचिन्तया भवत कदापि न दूनाः
sp010-000008_SR_01	रामम् प्रभुमात्मनि निदधत परिपूर्णाः इति
sp010-000009_SR_01	भूयश्च स तारमुदीरयति जय जय रघुवीर समर्थ इति
sp010-000010_SR_01	शरीरे काषायम् वासः
sp010-000011_SR_01	स्कन्धे भिक्षाप्रसेवकः झोली एकस्मिन् हस्ते कमण्डलुः
sp010-000012_SR_01	द्वितीये च यष्टि कुबडी पादयोः काष्ठपादुके
sp010-000013_SR_01	मुखम् तेजस्वि
sp010-000014_SR_01	वाणी चावर्जिकापि तेजस्विनी
sp010-000015_SR_01	गृहिणी काचित् एकस्मिन् बृहति पात्रे तण्डुलान्यानीय भिक्षाम् दित्सति
sp010-000016_SR_01	ताम् सन्न्यासी प्रतिबोधयति मातः एकाम् मुष्टिमेव प्रदेहि
sp010-000017_SR_01	नाधिकग्रहणस्य अस्माकम् पारम्परी इति
sp010-000018_SR_01	ग्रामाद् बहिरासीदेको वटवृक्षः
sp010-000019_SR_01	तत्र सन्न्यासी विहितवसतिः
sp010-000020_SR_01	धूनी प्रज्वालिता
sp010-000021_SR_01	प्रतिदिनम् यथा स तत्र ध्यानस्थस्तस्थौ
sp010-000022_SR_01	यदा तेन उन्मीलिते चक्षुषी तदा प्रमुखवर्त्तिनि माले ददृशिवान् भगवतो रामस्य धनुर्धारिणीम् मूर्त्तिम्
sp010-000023_SR_01	अतः परमपि स ध्यानमग्नो जातः
sp010-000024_SR_01	अनन्तरम् भूयोऽपि यदोन्मीलितनेत्रोऽजायत व्यपश्यत् तत्र तथैव तामेव भगवतो रामस्य मूर्तिम् सः
sp010-000025_SR_01	यदा तृतीयम् वारमपि स एव साक्षात्कारो जातस्तदा सन्न्यासी पप्रच्छ
sp010-000026_SR_01	प्रभो काऽस्ति तवेच्छेति
sp010-000027_SR_01	राम उदतरत् अहमत्र निवसितुमिच्छामीति
sp010-000028_SR_01	वार्तेयम् ग्रामीणेषु प्रससार
sp010-000029_SR_01	ते कथयन्ति आगत एकस्त्यागी विरागी सन्न्यासी कण्ठस्तस्य मधुरः वाणी प्रभाववती
sp010-000030_SR_01	जना एकत्रिता भवितुमारब्धाः
sp010-000031_SR_01	केनचित् पृष्टम् महाराज कोऽत्र भवानिति सन्न्यासी प्रोदतरत् अस्म्यहम् रामस्य दासः इति
sp010-000032_SR_02	कुतो भवानायाति क्व वा गन्ता
sp010-000033_SR_02	सन्न्यासी कथयति रामचरणेभ्य आयातः रामचरणानेव गन्तास्मि इति
sp010-000034_SR_02	अथान्यः कश्चित् ब्रूते दूरे तिष्ठन्तु लौकिका इमे वृत्तान्ताः भगवन्
sp010-000035_SR_02	भजनमेकम् श्रावयत् उपदिशत्वस्मान् इति
sp010-000036_SR_02	सन्न्यासी प्रावोचत्
sp010-000037_SR_02	गणाधीशो गुणाधीशो गुणातीतो ददाति सः
sp010-000038_SR_02	ज्ञानम् ज्ञानप्रदातृभ्यो रामम् वाग्रूपिणम् नुमः
sp010-000039_SR_02	अयनम् खलु यत् तस्य तद् दिव्यम् तत्र धावताम्
sp010-000040_SR_02	नास्ति भीः काचनास्माकम् इति स प्रभुरर्च्यताम्
sp010-000041_SR_02	जय जय रघुवीर समर्थ
sp010-000042_SR_02	शतशतानि श्रोतार एकत्रीभवन्ति
sp010-000043_SR_02	सर्वेऽपि वदन्ति जय जय रघुवीर समर्थ इति
sp010-000044_SR_02	स्थितिः पर्यवर्तत
sp010-000045_SR_02	आच्छादिताऽभूच्चेतन
sp010-000046_SR_02	इदानीम् सन्न्यासी रामायणकथाम् श्रावयति
sp010-000047_SR_02	प्रथमम् स रावणराज्यमवर्णयत्
sp010-000048_SR_02	चतसृषु दिक्षु हाहाकारोऽश्रूयत सर्वत्रैव अनाचारः अत्याचारः दुराचारोऽदृश्यन्त
sp010-000049_SR_02	राक्षसा आगच्छन्ति दास्यवमाचरन्ति स्त्रीरुत्थाप्यापहरन्ति नासीत् तेषाम् निरोद्धा कश्चित्
sp010-000050_SR_02	पृथिवी कम्पितुमारभत रोदिति स्म सा गोरूपम् धृत्वा सा ब्रह्मदेवमुपेयाय
sp010-000051_SR_02	सोऽपि देवस्ताम् विष्णुलोकमनयत् भगवता विष्णुना आश्वासनम् कृतम्
sp010-000052_SR_02	आगमिष्याम्येवाहम् दशरथगृहेऽवतरिष्यामि दुष्टान् दण्डयिष्यामि अनुग्रहीष्यामि च सतः
sp010-000053_SR_02	अधर्मम् निरोध्य धर्मम् प्रतिष्ठापयितास्म्यहम्
sp010-000054_SR_02	रामः पञ्चवटीमधिशिश्रिये मनुष्यभक्षिणश्चतुर्दशसहस्रान् राक्षसान् स न्यपीपतत्
sp010-000055_SR_02	रात्रौ द्वादशवादनेन कथा समाप्ता
sp010-000056_SR_02	श्रोतारः सद्भावभरितहृदया गृहम् प्रत्यावर्त्तन्ते स्म
sp010-000057_SR_02	तेषाम् मुखेभ्य उद्गाराः स्वत एव निःसृता कियानस्ति प्रभावो वाण्याम् वाक्सिद्धिरस्त्यस्य
sp010-000058_SR_02	वाक्प्रवाहो गङ्गाप्रवाहत्येतस्य शब्दानि चित्राणीव रचयति साक्षात्
sp010-000059_SR_02	सर्वैरेवान्वभूयत यत् तदानीम् सम्पूर्णे भारते वर्षे रावणस्यैव राज्यमस्ति विद्यमानमिति
sp010-000060_SR_02	सन्न्यासिनो वाणी सत्या भवति
sp010-000061_SR_03	राम आगमयिष्यति अवश्यमेवागमिष्यति राम इति
sp010-000062_SR_03	ऊचिवानसौ महात्मा आर्त्तानामस्माकमस्ति कार्यम् उच्चैःस्वरेण आर्तेन च कण्ठेनाह्वातव्यः सः
sp010-000063_SR_03	रामे भक्तिमद्भिर्भवितव्यमस्माभिः परस्परिकाः कलहाः परित्याज्या ऐक्यम् च ग्राह्यमिति
sp010-000064_SR_03	सन्न्यासिनो वचनम् सत्यमेव किन्तु कथमिदमनुष्ठातुम् शक्यम्
sp010-000065_SR_03	एवंविधानाम् महात्मनाम् वचनान्यसत्यानि न भवन्ति
sp010-000066_SR_03	तेषाम् मुखेनेश्वर एव वक्ति
sp010-000067_SR_03	ते हि सर्वानपि रामस्यैवायनेनाग्रे निनीषन्ति इति
sp010-000068_SR_03	एवम्विधानुद्गारान् प्रकटयन्तः सर्वे स्वम् स्वम् गृहमुपेताः
sp010-000069_SR_03	तेषाम् कर्णेषु सन्न्यासिन एव वचनानि ध्वनन्ति आसन्
sp010-000070_SR_03	सर्वेऽनुध्वनन्ति रामस्यायन एव वर्तामहै
sp010-000071_SR_03	तस्याम् शबर्याम् बहुभिः स्वप्ना अदृश्यन्त राम आगच्छतीति
sp010-000072_SR_03	मन्दिरस्य कृते स्थानम्
sp010-000073_SR_03	द्वितीयस्मिन् दिने यदा दर्शनार्थिनः सन्न्यासिनो दर्शनार्थमुपेताः
sp010-000074_SR_03	तदा संस्यासी साञ्जलिः प्रोवाच एकाम् भिक्षाम् याचे इति
sp010-000075_SR_03	ग्रामस्य श्रेष्ठी ब्रूते भवन्तो यदपि कथयेयुः गोधूमाः यवाः तण्डुलाः घृतम् गुडः
sp010-000076_SR_03	इत्यादिकम् सर्वम् भवताम् चरणेषु स्थापितम् द्रक्ष्यते
sp010-000077_SR_03	एकः कर्षुक उवाच मम पार्श्वे महिष्यः सन्ति गावो भवन्ति
sp010-000078_SR_03	यावदपीष्यते तावद् दुग्धम् दधि नवनीतम् चानयिष्ये
sp010-000079_SR_03	स्वामी प्रोवाच यत्सत्यम् अत्रभवन्तः सर्वेऽप्युदाराः धन्यवादस्य पात्राणि भवन्तः
sp010-000080_SR_03	किन्तु ममार्थे नाहमर्थी कणस्यापि
sp010-000081_SR_03	अर्थी भवाम्यहम् राममन्दिरस्य
sp010-000082_SR_03	एवंविध एवादेशो लब्धो मया स्वप्ने
sp010-000083_SR_03	तस्य कृतेऽपेक्ष्यते भूमिः
sp010-000084_SR_03	तामेव भिक्षितुमस्ति मे कामः
sp010-000085_SR_03	वदन्तु भवन्तः काम् वा भूमिम् निर्धारयन्ति भवन्तस्तदर्थमिति
sp010-000086_SR_03	भक्ता सर्वे परस्परस्य मुखम् पश्यन्ति ब्रुवन्ति च
sp010-000087_SR_03	अवश्यमहम् प्रदाता किन्तु सैव भूमिरस्ति मे परिवारस्याश्रयः
sp010-000088_SR_03	अवश्यमहम् प्रदाता किन्तु मम भूमिर्नितराम् दूरेऽस्ति
sp010-000089_SR_03	अवश्यमहम् प्रदाता किन्तु मम भूमिरस्त्यत्यन्तमुर्वरा
sp010-000090_SR_03	अवश्यमहम् प्रदाता किन्तु मम भूमिरस्त्यत्यन्तम् लघुः
sp010-000091_SR_04	इदानीम् ग्रामप्रमुखोऽवोचत् स्वामिन् सर्वेऽप्यत्रत्या वयम् कृषि समाश्रिता भवामः
sp010-000092_SR_04	अत्र अन्नप्रदाम् स्वीयाम् भूमिमस्मासु नास्ति कश्चनापि दातुम् क्षमः
sp010-000093_SR_04	किन्तु यदि श्रीचरणा अप्रसन्ना न भवेयुस्तर्हि निवेदयितुमिच्छामि किञ्चित्
sp010-000094_SR_04	स्वामी ब्रूते सप्रसादम् कथयतु भवान् इति
sp010-000095_SR_04	प्रधानेनावोचि समक्षे विद्यते माण्डनद्याः प्रवाहः अस्य द्वितीये तटे एको महान् मालः टीला दृश्यते
sp010-000096_SR_04	स हि साम्प्रतम् नास्ति कस्मैचनापि प्रयोजनाय
sp010-000097_SR_04	श्मशानभूमिरियमासीदस्यैव ग्रामस्य
sp010-000098_SR_04	यदि रोचेत तामधिगृह्णन्त्वार्या राममन्दिरायेति
sp010-000099_SR_04	स्वामी सप्रसादमुवाच साधु साधु इतोऽधिकमुचिता का वा भवेद् भूमिः
sp010-000100_SR_04	श्मशान एव तु सदैव वसति भगवान् शिवः नित्यम् रामनाम जपति सः
