sp014-000001_001	वयम् इदानीम् पश्चात्तापपीडिताः स्मः
sp014-000002_001	इत्यादिकम् कथयित्वा अन्ते किन्तु भवता बेङ्गलूरुनगरम् अर्पणीयम्
sp014-000003_001	शिवराजेन कोण्डाणदुर्गम् यत् वशीकृतम् तदपि अर्पणीयम् इति नियमम् सूचितवान्
sp014-000004_001	शहाजये एषः प्रस्तावः सर्वथा न अरोचत
sp014-000005_001	किन्तु अन्यः मार्गः न आसीत्
sp014-000006_001	इदानीम् कोण्डाणदुर्गम् दत्तम् चेदपि अग्रे शिवराजः पुनश्च साहसेन तत्
sp014-000007_001	कोण्डाणदुर्गम् प्रतिदातव्यम् इत्येतस्य वचनस्य श्रवणमात्रेण एव शिवराजस्य मनोमन्दिरम् उद्ध्वस्तम् अभवत्
sp014-000008_001	सः नितराम् दुःखितः अभवत्
sp014-000009_001	वयोवृद्धम् सचिवम् सोनोपन्तडबीरवर्यम् आहूय सः स्वस्य हृदयवेदनाम् प्रकटयन्
sp014-000010_001	अद्यावधि मम पिता माम् सम्यक् न अवगतवानेव
sp014-000011_001	स्वयम् अनवधानेन शत्रुहस्तगतः अभवत् सः
sp014-000012_001	किम् एषः दायित्वपूर्णः व्यवहारः इति पृष्टवान्
sp014-000013_001	तत् श्रुत्वा सोनोपन्तडबीरः आश्चर्यचकितः अभवत्
sp014-000014_001	अनुक्षणम् सः कठोरस्वरेण शिवराजम् उद्दिश्य महाराज ज्येष्ठानाम् निन्दनम् पापकरम्
sp014-000015_001	अनवधानेन सः शत्रुहस्तगतः अभवत् इति तु सत्यम्
sp014-000016_001	किन्तु तस्य विमोचनार्थम् कोण्डाणदुर्गस्य दानम् न महान् विषयः
sp014-000017_001	भवतः पितुः यावत् मूल्यम् ततोऽपि अधिकम् मूल्यम् कोण्डाणदुर्गस्य नास्ति
sp014-000018_001	पुनश्च तत् जेतुम् शक्यम्
sp014-000019_001	न केवलम् तावत् पराक्रमिणा पुरुषेण समग्रा पृथ्वी एव जेतुम् शक्या इति उक्तवान्
sp014-000020_001	पितृतुल्यस्य सोनोपन्तवर्यस्य वचनैः उद्विग्नस्य शिवराजस्य मनः शान्तम् अभवत्
sp014-000021_001	सः स्वस्य दोषम् अवगतवान्
sp014-000022_001	अनुक्षणम् सः मया दोषः आचरितः
sp014-000023_001	पितुः विषये कृतस्य अवमाननस्य प्रतीकारम् साधयिष्यामि एव
sp014-000024_002	चत्वारि वर्षाणि यावत् दुर्गाणाम् समीकरणाय कृषेः उद्योगस्य च संवर्धनाय च सः व्यवस्थाम् कारितवान्
sp014-000025_002	गोब्राह्मण प्रतिपालकः इति सर्वत्र शिवराजस्य ख्यातिः प्रसृता अभवत्
sp014-000026_002	बन्धविमुक्तः शहाजिराजः स्वस्य निष्ठावन्तौ गणनायकौ कान्होजिजेधे दादाजिलोहकरनामकौ शिवराजस्य सेवायै प्रेषितवान्
sp014-000027_002	कान्होजिः शिवराजस्य सेवाकरणेन एव धन्यताभावम् अनुभवति स्म
sp014-000028_002	स्वस्य असीमः पराक्रमः स्वराज्यसेवायै समर्पितः इति कारणतः सः अपि तृप्तः आसीत्
sp014-000029_002	तस्मिन् एव समये स्वराज्यस्य गर्भगृहायमाणम् जावळीप्रदेशम् शिवराजः वशीकृतवान्
sp014-000030_002	जावळीप्रदेशस्य दुर्गमारण्ये शिवराजः अजेयम् दुर्गमेकम् निर्मातुम् इष्टवान्
sp014-000031_002	निर्माणदायित्वम् मोरोपन्तपिङ्गळेवर्याय दत्तम्
sp014-000032_002	तदा एव पुरन्दरदुर्गम् शिवराजस्य हस्तगतम् अभवत्
sp014-000033_002	सूपाप्रदेशस्य वशीकरणम् अपि शिवराजस्य न्यायनिष्ठुरतायाः स्व राज्यनिष्ठायाः च निदर्शनम् अस्ति
sp014-000034_002	सम्भाजिमोहितेनामकः शिवराजस्य मातुलः
sp014-000035_002	जनैः सह सर्वदा दुर्व्यवहारः तस्य
sp014-000036_002	तस्य ग्रामः शिवराजस्य अधिकारक्षेत्रे एव आसीत्
sp014-000037_002	मोहितेद्वारा पीडितः तिम्माजीकुल्कर्णिनामकः शहाजिराजस्य समीपम् गत्वा मोहितेवर्यस्य दुर्व्यवहारान् निवेदितवान्
sp014-000038_002	शहाजिः तिम्माजेः कृते न्यायदानम् करोतु इति पत्रम् लिखित्वा पुत्राय प्रेषितवान्
sp014-000039_002	पितुः पत्रस्य प्राप्तितः पूर्वमेव सम्भाजिमोहितेवर्यस्य दुर्व्यवहारम् दमयितुम् शिवराजः चितान् सैनिकान् स्वीकृत्य गतवानासीत्
sp014-000040_002	नायकस्य पुत्रः आगतः इत्यतः दुर्गरक्षकाः तम् आदरेण एव अन्तः प्रेषितवन्तः
sp014-000041_002	मातुलस्य बन्धनम् कृत्वा शिवराजः तदीयम् दुर्गम् वशीकृतवान्
sp014-000042_002	अनन्तरम् आदरपूर्वकम् मातुलम् बन्धविमुक्तम् कृत्वा शहाजिसमीपम् प्रेषितवान्
sp014-000043_002	तदा एव शहाजेः पत्रम् गृहीत्वा तिम्माजिः आगतवान्
sp014-000044_002	तेनापि न्यायः प्राप्तः आसीत्
sp014-000045_002	शहाजेः समीपम् गत्वा मोहिते शिवराजस्य विषये दोषम् आरोपितवान्
sp014-000046_002	शहाजिः शान्ततया सर्वम् श्रुतवान्
sp014-000047_002	मम पुत्रेण दोषः कृतः इति एकवारम् अपि न तेन उक्तम्
sp014-000048_002	तदनन्तरकाले शहाजिना कर्णाटकम् प्रति गन्तव्यम् आसीत्
sp014-000049_002	तावत्पर्यन्तम् शिवराजः बद्धः आसीत्
sp014-000050_002	तेनाऽपि पर्याप्तमात्रेण विश्रान्तिः प्राप्ता आसीत्
sp014-000051_002	नवसाहसविचाराः तस्य मस्तके सञ्चरन्तः आसन्
sp014-000052_003	मम इच्छा पूर्णा न अभवत्
sp014-000053_003	भवन्तः वा एतत् कार्यम् साधयन्तु इति उक्त्वा इहलोकव्यापारम् समापितवान्
sp014-000054_003	महम्मदस्य अनन्तरम् तस्य पुत्रः अलिः बिजापुरस्य चक्रवर्ती अभवत्
sp014-000055_003	तदा मोगलचक्रवर्तिनः शहाजहानस्य पुत्रः शहजादा राजकुमारः औरङ्गजेबः दक्षिणराज्यानाम् प्रतिनिधिः आसीत्
sp014-000056_003	अत्र शिवराजः अपि नूतनानि दुर्गाणि जेतुम् स्वस्य नायकान् दूरे दूरे प्रेषितवान्
sp014-000057_003	बिजापुरात् यानि यानि दुर्गाणि प्रदेशाः नौकास्थानानि च जितानि आसन् तेषाम् मान्यताम् प्राप्तुम्
sp014-000058_003	तानि वशीकृतानि आसन् बिजापुरात् मान्यता देहल्याः
sp014-000059_003	शिवराजस्य खड्गः यथा तीक्ष्णः तथा बुद्धिः अपि तीक्ष्णा
sp014-000060_003	सः आनन्देन एव मान्यतापत्रम् दत्तवान्
