sp015-000001_001	उपायेन शक्यम् सर्वम्
sp015-000002_001	कस्मिंश्चित् अरण्ये भासुरकः नाम सिंहः वसति स्म
sp015-000003_001	सः अतीव शक्तिशाली
sp015-000004_001	भासुरकः प्रतिदिनम् अनेकान् मृगान् विना कारणम् मारयति स्म
sp015-000005_001	एतेन वनस्य अन्ये मृगाः कष्टम् अनुभवन्ति स्म
sp015-000006_001	अतः एकदा ते मृगाः सम्भूय गत्वा भासुरकम् प्रार्थितवन्तः
sp015-000007_001	स्वामिन् विना कारणम् एवम् मृगाणाम् मारणेन भवतः कः लाभः
sp015-000008_001	एकस्य एव मृगस्य खादनेन भवतः उदरम् पूर्णम् भवति किल
sp015-000009_001	अतः अद्य आरभ्य भवतः आहारार्थम् प्रतिदिनम् एकम् मृगम् वयमेव प्रेषयिष्यामः
sp015-000010_001	भवान् तम् मृगम् खादतु
sp015-000011_001	अन्यान् मृगान् न पीडयतु इति
sp015-000012_001	तदा भासुरकः उक्तवान् तथैव अस्तु
sp015-000013_001	परन्तु यस्मिन् दिने मम समीपम् मृगः न आगमिष्यति
sp015-000014_001	तस्मिन् दिने सर्वान् अपि मृगान् मारयिष्यामि एव इति
sp015-000015_001	मृगाः तत् अङ्गीकृतवन्तः
sp015-000016_001	ततः आरभ्य प्रतिदिनम् जातिक्रमेण एकः मृगः भासुरकस्य आहारत्वेन गच्छति स्म
sp015-000017_001	भासुरकः तम् खादति स्म
sp015-000018_001	अन्ये मृगाः निर्भयम् अरण्ये सञ्चरन्ति स्म
sp015-000019_001	कदाचित् जातिक्रमेण केनचित् शशकेन भासुरकस्य आहाररूपेण गन्तव्यम् आपतितम्
sp015-000020_001	सः शशकः दुःखेन सिंहसमीपम् प्रस्थितवान्
sp015-000021_001	मार्गे एकः कूपः आसीत्
sp015-000022_001	कूपस्य उपरि गमनसमये शशकः स्वस्य प्रतिबिम्बम् तत्र दृष्टवान्
sp015-000023_001	तदा तस्य मनसि एकः उपायः स्फुरितः
sp015-000024_001	अहम् भासुरकम् एतस्मिन् कूपे पातयामि
sp015-000025_001	इति चिन्तयन् सः विलम्बेन भासुरकस्य समीपम् गतवान्
sp015-000026_001	अद्य मृगः समये न आगतः इति भासुरकः अतीव कुपितः आसीत्
sp015-000027_001	तदा शशकः मन्दम् मन्दम् गत्वा प्रणम्य तस्य पुरतः स्थितवान्
sp015-000028_001	तम् तर्जयन् भासुरकः उक्तवान्
sp015-000029_001	रे शशकाधम समये आगन्तव्यम् इति परिज्ञानम् नास्ति वा भवतः
sp015-000030_001	भवान् विलम्बम् कृतवान् किल
sp015-000031_001	अतः प्रथमम् भवन्तम् खादित्वा अनन्तरम् सर्वम् मृगकुलमेव नाशयामि इति
sp015-000032_001	तदा शशकः विनयेन उक्तवान्
sp015-000033_001	स्वामिन् मया अपराधः न कृतः
sp015-000034_001	भवतः समीपम् समये आगन्तव्यम् इत्येव अहम् प्रस्थितः
sp015-000035_001	परन्तु मार्गे अन्यः एकः सिंहः आसीत्
sp015-000036_001	सः माम् दृष्ट्वा पृष्टवान्
sp015-000037_001	भवान् कुत्र गच्छति इति
sp015-000038_001	अहम् भासुरकस्य आहारार्थम् गच्छामि इति उक्तवान्
sp015-000039_001	तदा सः उक्तवान् एतत् मम अरण्यम्
sp015-000040_001	अत्र सर्वे अपि मृगाः मम आज्ञाम् पालयेयुः
sp015-000041_001	भासुरकः कुत्र अस्ति सः चोरसिंहः स्यात्
sp015-000042_001	भवान् तम् अत्र आनयतु
sp015-000043_001	आवयोः मध्ये युद्धम् भवतु
sp015-000044_001	युद्धे यः जयति सः एव भवन्तम् खादतु इति
sp015-000045_001	तस्य सूचनानुसारम् अहम् अत्र आगतवान्
sp015-000046_001	अतः एव विलम्बः जातः इति
sp015-000047_001	एवम् वा तर्हि तम् सिंहम् इदानीम् एव मारयामि
sp015-000048_001	सः कुत्र अस्ति प्रदर्शयतु इति भासुरकः उक्तवान्
sp015-000049_001	शशकः तम् कूपसमीपम् नीतवान् कूपम् प्रदर्शितवान् च
sp015-000050_001	भासुरकः तत्र जले स्वस्य प्रतिबिम्बम् दृष्टवान्
sp015-000051_001	क्रोधेन गर्जनम् कृतवान्
sp015-000052_001	कूपतः इतोऽपि उच्चैः प्रतिध्वनिः आगतः
sp015-000053_001	भासुरकः तम् प्रतिबिम्बमेव स्वस्य प्रतिस्पर्धिनम् मत्वा
sp015-000054_001	तम् मारयितुम् तस्य उपरि आक्रमणम् कृतवान्
sp015-000055_001	कूपमध्ये पतितः सः जले निमग्नः मृतः च
sp015-000056_002	वञ्चकः बकः
sp015-000057_002	कुत्रचित् अरण्य प्रदेशे एकः सरोवरः आसीत्
sp015-000058_002	तत्र बहवः जलचराः आसन्
sp015-000059_002	कश्चन बकः अपि तत्र बहुकालतः वसति स्म
sp015-000060_002	कालान्तरे सः बकः वृद्धः अभवत्
sp015-000061_002	वार्धक्य सः मत्स्यान् ग्रहीतुम् अपि असमर्थः अभवत्
sp015-000062_002	इदानीम् कथम् आहारः सम्पादनीयः
sp015-000063_002	इति चिन्तयन् सः एकम् उपायम् अन्विष्टवान्
sp015-000064_002	सरोवरस्य तीरे स्थित्वा अश्रूणि मुञ्चन् सः रोदनम् आरब्धवान्
sp015-000065_002	तदा कश्चन कर्कटकः तस्य समीपम् आगत्य पृष्टवान्
sp015-000066_002	माम किमर्थम् भवान् रोदनम् करोति इति
sp015-000067_002	तदा बकः उक्तवान् अद्य दैवज्ञ मुखतः अहम् एकाम् दुर्वार्ताम् श्रुतवान्
sp015-000068_002	इतः परम् द्वादश वर्ष पर्यन्तम् अत्र अनावृष्टिः भविष्यति इति
sp015-000069_002	अस्माकम् सरोवरे किञ्चित् एव जलम् अस्ति
sp015-000070_002	शीघ्रम् एव तत् अपि शुष्कम् भविष्यति
sp015-000071_002	तदा मम बान्धवाः भवन्तः सर्वे अपि मृताः भविष्यन्ति किल
sp015-000072_002	इति मम अतीव दुःखम् इति
sp015-000073_002	तत् श्रुत्वा कर्कटकः ताम् वार्ताम् अन्य जलचरान् निवेदितवान्
sp015-000074_002	ते सर्वे अपि भीताः सन्तः बकस्य समीपम् आगतवन्तः
sp015-000075_002	विनयेन तम् पृष्टवन्तः
sp015-000076_002	माम अस्माकम् प्राणरक्षणार्थम् कोऽपि उपायः अस्तिवा इति
sp015-000077_002	तदा बकः उक्तवान्
sp015-000078_002	इतः किञ्चित् दूरे अन्यत् एकम् सरोवरम् अस्ति
sp015-000079_002	तत्र प्रभूतम् जलमस्ति
sp015-000080_002	तत् कदापि शुष्कम् न भविष्यति
sp015-000081_002	यदि भवन्तः मम पृष्ठम् आरोहन्ति
sp015-000082_002	तर्हि अहम् भवतः सर्वान् तत्र नयामि इति
sp015-000083_002	तदा ते जलचराः महता उत्साहेन तम् परितः स्थितवन्तः
sp015-000084_002	बकः तान् पृष्ठे आरोप्य ततः प्रस्थितवान्
sp015-000085_002	किञ्चित् दूरे एका शिला आसीत्
sp015-000086_002	तत्र तान् स्थापयित्वा सः सन्तोषेण खादितवान्
sp015-000087_002	एवम् एव सः बहून् जलचरान् खादितवान्
