sp018-000001_001	अथ अष्टमोऽध्यायः
sp018-000002_001	ते ब्रह्म तद्विदुः कृत्स्नम् इत्यादिना भगवता अर्जुनस्य प्रश्नबीजानि उपदिष्टानि
sp018-000003_001	अतः तत्प्रश्नार्थम् अर्जुनः उवाच
sp018-000004_001	एषाम् प्रश्नानाम् यथाक्रमम् निर्णयाय श्रीभगवान् उवाच
sp018-000005_001	अक्षरम् न क्षरतीति अक्षरम् परमात्मा
sp018-000006_001	एतस्य वा अक्षरस्य प्रशासने गार्गि इति श्रुतेः
sp018-000007_001	ओङ्कारस्य च ओमित्येकाक्षरम् ब्रह्म इति परेण विशेषणात् अग्रहणम्
sp018-000008_001	परमम् इति च निरतिशये ब्रह्मणि अक्षरे उपपन्नतरम् विशेषणम्
sp018-000009_001	तस्यैव परस्य ब्रह्मणः प्रतिदेहम् प्रत्यगात्मभावः स्वभावः
sp018-000010_001	स्वो भावः स्वभावः अध्यात्मम् उच्यते
sp018-000011_001	आत्मानम् देहम् अधिकृत्य प्रत्यग् आत्मतया प्रवृत्तम् परमार्थब्रह्मावसानम् वस्तु स्वभावः अध्यात्मम् उच्यते
sp018-000012_001	अध्यात्मशब्देन अभिधीयते
sp018-000013_001	भूतभावोद्भवकरः भूतानाम् भावः भूतभावः
sp018-000014_001	तस्य उद्भवः भूतभावोद्भवः
sp018-000015_001	तम् करोति इति भूतभावोद्भवकरः
sp018-000016_001	भूतवस्तूत्पत्तिकर इत्यर्थः
sp018-000017_001	विसर्गः विसर्जनम् देवतोद्देशेन चरुपुरोडाशादेः द्रव्यस्य परित्यागः
sp018-000018_001	स एष विसर्गलक्षणो यज्ञः कर्मसञ्ज्ञितः कर्मशब्दित इत्येतत्
sp018-000019_001	एतस्मात् हि बीजभूतात् वृष्ट्यादिक्रमेण स्थावरजङ्गमानि भूतानि उद्भवन्ति
sp018-000020_001	अधिभूतम् प्राणिजातम् अधिकृत्य भवति इति
sp018-000021_001	कोऽसौ क्षरः क्षरतीति क्षरः विनाशी
sp018-000022_001	भावः यत्किञ्चित् जनिमत् वस्तु इत्यर्थः
sp018-000023_001	पुरुषः पूर्णम् अनेन सर्वमिति पुरि शयनात् वा
sp018-000024_001	पुरुषः आदित्यान्तर्गतो हिरण्यगर्भः
sp018-000025_001	सर्वप्राणिकरणानाम् अनुग्राहकः सः अधिदैवतम्
sp018-000026_001	अधियज्ञः सर्वयज्ञाभिमानिनी विष्ण्वाख्या देवता
sp018-000027_001	यज्ञो वै विष्णुः इति श्रुतेः
sp018-000028_001	स हि विष्णुः अहम् एव
sp018-000029_001	अत्र अस्मिन् देहे यो यज्ञः तस्य अहम् अधियज्ञः
sp018-000030_001	यज्ञो हि देहनिर्वर्त्यत्वेन देहसमवायी इति देहाधिकरणो भवति देहभृताम् वर
sp018-000031_001	अन्तकाले मरणकाले च मामेव परमेश्वरम् विष्णुम् स्मरन् मुक्त्वा
sp018-000032_001	परित्यज्य कलेवरम् शरीरम् यः प्रयाति गच्छति सः मद्भावम् वैष्णवम् तत्त्वम् याति
sp018-000033_001	न अस्ति न विद्यते अत्र अस्मिन् अर्थे संशयः याति वा न वा इति
sp018-000034_001	न मद्विषय एव अयम् नियमः
sp018-000035_001	यम् यम् वापि यम् यम् भावम् देवताविशेषम् स्मरन् चिन्तयन् त्यजति परित्यजति
sp018-000036_001	अन्ते अन्तकाले प्राणवियोगकाले कलेवरम् शरीरम्
sp018-000037_001	तम् तमेव स्मृतम् भावम् एव एति न अन्यम् कौन्तेय
sp018-000038_001	सदा सर्वदा तद्भावभावितः तस्मिन् भावः तद्भावः
sp018-000039_001	स भावितः स्मर्यमाणतया अभ्यस्तः येन सः तद्भावभावितः सन्
sp018-000040_001	यस्मात् एवम् अन्त्या भावना देहान्तरप्राप्तौ कारणम्
sp018-000041_001	तस्मात् सर्वेषु कालेषु माम् अनुस्मर यथाशास्त्रम्
sp018-000042_001	युध्य च युद्धम् च स्वधर्मम् कुरु
sp018-000043_001	मयि वासुदेवे अर्पिते मनोबुद्धी यस्य तव
sp018-000044_001	स त्वम् मयि अर्पितमनोबुद्धिः सन्
sp018-000045_001	मामेव यथास्मृतम् एष्यसि आगमिष्यसि
sp018-000046_001	असंशयः न संशयः अत्र विद्यते
sp018-000047_001	अभ्यासयोगयुक्तेन मयि चित्तसमर्पणविषयभूते एकस्मिन्
sp018-000048_001	तुल्यप्रत्ययावृत्तिलक्षणः विलक्षणप्रत्ययानन्तरितः अभ्यासः स च अभ्यासो योगः
sp018-000049_001	तेन युक्तम् तत्र एव व्यापृतम् योगिनः चेतः तेन
sp018-000050_001	चेतसा न अन्यगामिना न अन्यत्र विषयान्तरे गन्तुम् शीलम् अस्य
sp018-000051_001	परमम् निरतिशयम् पुरुषम् दिव्यम् दिवि सूर्यमण्डले भवम् याति गच्छति
sp018-000052_001	किम् विशिष्टम् च पुरुषम् याति इति उच्यते
sp018-000053_001	कविम् क्रान्तदर्शिनम् सर्वज्ञम् पुराणम् चिरन्तनम्
sp018-000054_001	अनुशासितारम् सर्वस्य जगतः प्रशासितारम्
sp018-000055_001	अणोः सूक्ष्मादपि अणीयांसम्
sp018-000056_001	सूक्ष्मतरम् अनुस्मरेत् अनुचिन्तयेत् यः कश्चित्
sp018-000057_001	सर्वस्य कर्मफलजातस्य धातारम् विधातारम्
sp018-000058_001	विचित्रतया प्राणिभ्यो विवक्तारम्
