sp021-000001_01	भक्तः कुलशेखरः
sp021-000002_01	हरिनारायणः केरलम्
sp021-000003_01	चेरराज्यस्य राजा कुलशेखरः अत्यन्तम् ईश्वरभक्तः
sp021-000004_01	प्रतिदिनम् हरिकथाश्रवणे तत्परः भवति स्म सः
sp021-000005_01	हरिकथाम् श्रावयितुम् सः कमपि पण्डितम् स्वकीयप्रासादम् प्रति आनाययति स्म
sp021-000006_01	तस्मै पण्डिताय यथा योग्यम् उपायनम् अपि ददाति स्म
sp021-000007_01	राज्ञः एतादृशी प्रवृत्तिः राज्ञ्यै न रोचते स्म
sp021-000008_01	अमात्यः अपि राज्ञः विषये असन्तुष्टः आसीत्
sp021-000009_01	तौ उभौ अपि मिलित्वा निश्चितवन्तौ यत् राज्ञः हरिकथाश्रवणे
sp021-000010_01	एकदा रामायणसप्ताहः आरब्धः
sp021-000011_01	अन्तिमे दिने राजा पण्डिताय अमूल्यानि रत्नानि दत्तवान्
sp021-000012_01	तत् सर्वम् स्वीकृत्य पण्डितः स्वगृहम् गन्तुम् उद्यतः
sp021-000013_01	तदवसरे कश्चन भटः आगत्य उक्तवान् श्रीरामविग्रहस्थः अमूल्यः हारः न दृश्यते इति
sp021-000014_01	एतत् श्रुत्वा सर्वे आश्चर्येण स्तब्धाः जाताः
sp021-000015_01	राम विग्रहः यत्र स्यात् तम् प्रकोष्ठम् स्वयम् राजा अमात्यः पण्डितः चेति त्रयः एव प्रविष्टवन्तः आसन्
sp021-000016_01	अहम् हारम् न स्पृष्टवान् एव
sp021-000017_01	भवन्तः मम देहस्य परिशोधनम् कर्तुम् अर्हन्ति इति उच्चैः अवदत् अमात्यः
sp021-000018_01	ततः भटाः तस्य देहस्य परिशोधनम् कृतवन्तः
sp021-000019_01	किन्तु तत्र किमपि न लब्धम्
sp021-000020_01	राज्ञा वारितः अपि पण्डितः अवदत्
sp021-000021_01	ममापि परिशोधनम् कर्तुम् अर्हन्ति भवन्तः
sp021-000022_01	राज्ञा दत्तेभ्यः आभरणेभ्यः ऋते मत्समीपे अन्यत् किमपि नास्ति इति
sp021-000023_01	अमात्यः स्वयम् अग्रे आगत्य पण्डितस्य परिशोधनम् कृतवान्
sp021-000024_01	आश्चर्यम् नाम तस्य स्यूते श्रीरामविग्रहस्थः हारः प्राप्तः
sp021-000025_01	एतत् दृष्ट्वा सर्वे दिभ्रान्ताः जाताः
sp021-000026_01	एतादृशस्य चौर्यस्य दण्डः कः इति मन्त्री गुरुम् अपृच्छत्
sp021-000027_01	कालसर्पदंशः एव दातव्यः इति गुरुणा उक्तम्
sp021-000028_01	एवम् तर्हि कालसर्पः आनीयताम् इति आज्ञाम् कृतवान् अमात्यः
sp021-000029_01	भटाः गत्वा कालसर्पम् घटे निक्षिप्य आनीतवन्तः
sp021-000030_01	ईश्वरो रक्षतु इति उक्त्वा पण्डितः घटे हस्तम् निक्षेप्तुम् उद्युक्तः
sp021-000031_01	किन्तु तावता राजा अग्रे आगत्य भवान् मे अतिथिः
sp021-000032_01	भवतः जीवनरक्षणम् मम कर्तव्यम् इति उक्त्वा घटे स्वयम् हस्तम् प्रवेशितवान्
sp021-000033_01	एतत् दृष्ट्वा सर्वे हाहाकारम् कृतवन्तः
sp021-000034_01	विस्मयः नाम राज्ञः करस्पर्शेन सर्पः स्वयम् बहिः आगतवान् न तु तम् दष्टवान्
sp021-000035_01	एतत् विलोक्य सर्वे विस्मिताः जाताः
sp021-000036_01	राजा अपि स्वयम् भगवतः कारुण्यम् दृष्ट्वा विरक्तो भूत्वा
sp021-000037_01	राज्यभारम् स्वपुत्राय दत्त्वा पण्डितेन साकम् गतवान्
sp021-000038_01	सः अनन्तरकाले भक्तः कुलशेखरः इति ख्यातः जातः
sp021-000039_02	आशयः तु इत्थम्
sp021-000040_02	पूर्वम् कश्चन निरीश्वरवादी आसीत्
sp021-000041_02	भगवान् बुद्धः तम् उपसर्प्य देवः सर्वत्र अस्ति
sp021-000042_02	सः एव जगतः कर्ता सर्वस्य कारयिता च
sp021-000043_02	अतः तस्मिन् श्रद्धा करणीया इति अबोधयत्
sp021-000044_02	अन्यदा कदाचित् पूजया एव समग्रम् दिनम् यापयन्तम् कञ्चित् सः उपादिशत्
sp021-000045_02	भोः किम् एतादृश्या पूजया परित्यज्यताम्
sp021-000046_02	जनानाम् सेवाम् कुरु
sp021-000047_02	दीनेषु देवम् पश्य इति
sp021-000048_02	उभयप्रसङ्गे अपि शिष्यः आनन्दः पार्श्वे एव आसीत्
sp021-000049_02	किमर्थम् आचार्यः एवम् वदति
sp021-000050_02	क्वचित् सः वदति देवे श्रद्धा करणीया इति
sp021-000051_02	पुनः कदाचित् सः उपदिशति
sp021-000052_02	एतस्य किम् तात्पर्यम् इति आचार्यः प्रष्टव्यः इति यावत् सः चिन्तयन् आसीत्
sp021-000053_02	तावता कश्चन शिष्यः आगत्य बुद्धम् अपृच्छत्
sp021-000054_02	भगवन् देवस्य अस्तित्वविषये जनाः परस्परविरुद्धम् आशयम् प्रकटयन्ति
sp021-000055_02	कृपया भवान् वदतु देवः अस्ति उत न इति
sp021-000056_02	कस्मिंश्चित् कार्ये मग्नः बुद्धः किमपि उत्तरम् न उक्तवान् एव
sp021-000057_02	सः शिष्यः किञ्चित्कालम् यावत् प्रतीक्षाम् कृत्वा अपि उत्तरम् अप्राप्य ततः निर्गतवान्
sp021-000058_02	किञ्चिदनन्तरम् आनन्दः तम् अपृच्छत्
sp021-000059_02	आचार्य भगवान् अस्ति इति कदाचित् भवान् वदति
sp021-000060_02	भगवतः पूजा मास्तु इत्यपि भवान् वदति
sp021-000061_02	भगवतः अस्तित्वस्य विषये यदा कश्चन शिष्यः प्रष्टुम् आगतः तदा भवता किमपि उत्तरम् न दत्तम्
sp021-000062_02	किमर्थम् एवम् इति
sp021-000063_02	तदा बुद्धः विहस्य अवदत् प्रथमः तु निरीश्वरवादी आसीत्
sp021-000064_02	अतः एव मया सः बोधितः
sp021-000065_02	भगवति अवश्यम् विश्वासः करणीयः इति
sp021-000066_02	द्वितीयः तु अन्धश्रद्धायाः दासः आसीत्
sp021-000067_02	अतः मया सः सूचितः
sp021-000068_02	देवः समग्रे जगति भवति न तु विग्रहमात्रे इति तेन अवगन्तव्यम् आसीत्
sp021-000069_02	अतः मया सः तथा उक्तः
sp021-000070_02	तृतीयः तु संशयात्मा
sp021-000071_02	अन्येषाम् वचनेषु श्रद्धाम् करोति सः
sp021-000072_02	देवः अस्ति वा न वा इति तेन स्वप्रयत्नेन ज्ञातव्यम् आसीत्
sp021-000073_02	अतः एव मया तस्य प्रश्नस्य उत्तरम् न दत्तम्
sp021-000074_03	गुणैः एव शोभते जनः
sp021-000075_03	रत्नाकरतरङ्गः
sp021-000076_03	चन्द्रगुप्तः मगधसाम्राज्यस्य राजा
sp021-000077_03	एकदा सः प्रधानामात्येन आचार्यचाणक्येन सह प्रासादगवाक्षस्य पार्श्वे उपविश्य
sp021-000078_03	सम्भाषणम् कुर्वन् आसीत्
sp021-000079_03	सम्भाषणावसरे सः चाणक्यम् दृष्ट्वा मन्दहासम् प्रकटयन् अवदत्
sp021-000080_03	अमात्यवर्य भवान् बुद्धिमान् कुशलश्च इति तु सत्यमेव
sp021-000081_03	किन्तु इति
sp021-000082_03	किन्तु इति किमर्थम् अर्धोक्तिः
sp021-000083_03	यत् मनसि स्यात् तत् उच्यताम् चाणक्यः अवदत्
sp021-000084_03	चन्द्रगुप्तः कथने अनुत्साहम् दर्शयन्
sp021-000085_03	मास्तु आचार्य त्यज्यताम् अयम् विचारः इति अवदत्
sp021-000086_03	पुनरपि चाणक्येन अनुरोधपूर्वकम् यदा उक्तम् तदा चन्द्रगुप्तः अकथयत्
sp021-000087_03	श्रीमन् भवान् कुशलः बुद्धिमान् च किन्तु न रूपवान् इति
sp021-000088_03	स्यात् नाम एतत्
sp021-000089_03	किन्तु रूपमात्रेण किंवा भवेत्
sp021-000090_03	गाम्भीर्येण अपृच्छत् चाणक्यः
sp021-000091_03	रूपम् एव प्रशस्यते लोके
sp021-000092_03	रूपवेषादिकम् दृष्ट्वा एव खलु आदरम् अनादरम् वा दर्शयन्ति जनाः इति अवदत् चन्द्रगुप्तः
sp021-000093_03	तस्य वचनम् श्रुत्वा चाणक्यः प्रत्युत्तरम् किमपि अवदन्
sp021-000094_03	भटद्वारा पाकगृहात् द्वौ घटौ आनायितवान्
sp021-000095_03	तयोः एकः सुवर्णस्य अपरश्च मृदः
sp021-000096_03	द्वयोरपि कुम्भयोः जलम् पूरयित्वा चाणक्यः राजसमक्षम् आनीतवान्
sp021-000097_03	आदौ सुवर्णमये घटे स्थितम् जलम् राज्ञे दत्तम्
sp021-000098_03	तत् किश्चित् पीत्वा असन्तोषम् प्रकटयन् चन्द्रगुप्तः
sp021-000099_03	अहो एतत् तु उष्णम् जलम् शीतलम् जलम् दीयताम् इति भटम् आदिशत्
sp021-000100_03	किम् पुनरपि सुवर्णघटस्थम् एवम् जलम् दीयताम् इति भटम् वदेयम् चाणक्यः अपृच्छत्
sp021-000101_03	मास्तु मृत्कुम्भस्थम् जलम् ददातु नाम सः
sp021-000102_03	मृद्घटस्थम् जलम् भवति शीतलम् राजा अवदत्
sp021-000103_03	किम् सुवर्णघटः न सुन्दरः
sp021-000104_03	तावता राज्ञा अवगतम् यत् यथा सुन्दरे सुवर्णघटे अपि स्थितम् जलम् उष्णम्
sp021-000105_03	असुन्दरे मृद्घटे स्थितम् जलम् च शीतलम्
sp021-000106_03	तथा जनाः गुणैः शोभन्ते न तु सौन्दर्येण इति
sp021-000107_03	अतः सः चाणक्यम् क्षमाम् अयाचत्
