sp022-000001_001	श्री परमात्मने नमः
sp022-000002_001	यथार्थ गीता श्रीमद्भगवद्गीता
sp022-000003_001	भगवान् श्रीकृष्णः यस्मिन् काले गीतायाः सदुपदेशम्प्रादात्
sp022-000004_001	तदानीम् तस्य मनोभावाः कीदृशाः आसन्
sp022-000005_001	ते सर्वे मनोगताः भावाः वक्तुम् न शक्यन्ते
sp022-000006_001	केचन सन्ति भावाः वर्णयितुम् योग्याः केचन भावभङ्गिमयैव प्रकटयितुम् अर्हाः अपरेशेषा भावाः क्रियात्मकाः सन्ति
sp022-000007_001	तान् भावान् कोऽपि जनः तत्पथमारुह्यैव ज्ञातुम् शक्नोति
sp022-000008_001	यस्मिन् स्तरे श्रीकृष्णः आसीत्
sp022-000009_001	तदेव स्तरम् आत्मसात् कृत्वैव कश्चित् साधनाधनः पुरुषः एव जानाति यत् गीता किम् कथयति
sp022-000010_001	सः महापुरुषः गीतायाः वाक्यमेव वारम्वारम् नावर्त्तयति प्रत्युत गीतोक्तभावान् स्पष्टरूपेण दर्शयति
sp022-000011_001	कुतो हि या स्थितिः कृष्णस्य समक्षम् आसीत् सैव स्थितिः तस्य महापुरुषस्य पुरतः चकास्ति
sp022-000012_001	एतस्माद् एव सः महापुरुषः सन्निरीक्षते जनान् दर्शयिष्यति जनेषु तत् सञ्जागरयिष्यति तत्पथे चालयिष्यति अपि
sp022-000013_001	पूज्यश्रीपरमहंसजी महाराजाः अपि तत् स्तरस्य एव महापुरुषाः आसन्
sp022-000014_001	तेषाम् वाणीभिः अन्तः प्रेरणाभिश्च गीतायाः यः अर्थः सम्प्राप्तः तस्यैव सङ्कलनम् यथार्थगीता अस्ति
sp022-000015_001	स्वामी अडगडानन्दः
sp022-000016_001	गीता मानवमात्रस्य धर्मशास्त्रम् अस्ति इति महर्षिवेदव्यासः
sp022-000017_001	श्रीकृष्णकालिकम् महर्षिवेदव्यासात् पूर्वम् किमपि शास्त्रम् पुस्तकरूपेण न उपलब्धम् आसीत्
sp022-000018_001	श्रुतज्ञानस्य इमाम् परम्पराम् भञ्जयन् असौ वेदचतुष्टयम् ब्रह्मसूत्रम् महाभारतम् भागवतमेवम् गीता सदृशेषु ग्रन्थेषु पूर्वसञ्चितभौतिकस्य तथा अध्यात्मिकस्य च ज्ञानराशिम् सङ्कलितम् कृत्वा
sp022-000019_001	परिणामे अर्थात् अन्ते स्वयम् एव निर्णयम् दत्तवान्
sp022-000020_001	यत् सर्वोपनिषदो गावो दोग्धा गोपालनन्दनः सर्वेषाम् वेदानाम् प्राणभूता उपनिषदाम् सारभूता वरीवर्ति गीता
sp022-000021_001	याम् गोपालः श्रीकृष्णः दुदोहो अशान्तम् जीवम् परमात्मनः दर्शनोन्मुखसाधनस्य स्थितिम् शाश्वतशान्तेः स्थितिम् यावत् अनयत्
sp022-000022_001	असौ महापुरुषः स्वकृतिषु गीताम् शास्त्रस्य सञ्ज्ञाम् ददानः स्तुतिम् कृतवान् सगर्जंळू घोषितवान् च
sp022-000023_001	गीता सम्यक् अध्ययनानन्तरम् हृदये धारणार्हा
sp022-000024_001	या पद्मनाभस्य भगवतः श्रीमुखान्निसृता वाणि अस्ति
sp022-000025_002	पुनः अन्यशास्त्राणाम् सङ्ग्रहस्य किम् प्रयोजनम्
sp022-000026_002	गीतायाः सारांशः निम्नश्लोकेन व्यज्यते
sp022-000027_002	अर्थात् एकमेवशास्त्रम् अस्ति यत् देवकीपुत्रस्य भगवतः श्रीकृष्णस्य श्रीमुखाद्गायिता सैव गीता एक एव प्राप्तव्यः देवः
sp022-000028_002	तस्मिन् गायने यत् सत्यम् प्रतिपादितम् तद् एव अस्ति आत्मा
sp022-000029_002	आत्मानम् ऋते किमप्यपरम् शाश्वतम् नास्ति
sp022-000030_002	तस्मिन् गायने सः महायोगेश्वरः किम् जपनाय कथितवान्
sp022-000031_002	ओम्
sp022-000032_002	अर्जुन ओम् अक्षय परमात्मनः नाम अस्ति तस्य जपम् कुरु ध्यानञ्च मम धारय
sp022-000033_002	गीतायाम् वर्णितो धर्म एक एवाऽस्ति परमदेवस्य एकस्य परमात्मनः सेवा
sp022-000034_002	तम् श्रद्धया स्वहृदये निधेहि
sp022-000035_002	अस्तु प्रारम्भत एव गीता भवताम् शास्त्रम् समासीत्
sp022-000036_002	भगवतः श्रीकृष्णस्य सहस्रवर्षानन्तरम् परवर्त्तिनः ये महापुरुषाः एकमेवेश्वरम् सत्यम् अब्रुवन् ते सर्वे गीतायाः सन्देशवाहकाः आसन्
sp022-000037_002	ईश्वराद् एव लौकिकतथापारलौकिकसुखानाम् कामनाविधानम्
sp022-000038_002	ईश्वराद्भयकरणम् अन्यकमपि ईश्वरम् न स्वीकरणम्
