sp023-000001_001	ब्रह्मसूत्रे प्रथमाध्याये प्रथमः पादः
sp023-000002_001	अध्यासभाष्यम्
sp023-000003_001	युष्मदस्मत्प्रत्ययगोचरयो र्विषयविषयिणोस्तमःप्रकाशवद्विरुद्धस्वभावयोर् इतरेतरभाव अनुपपत्तौ सिद्धायाम्
sp023-000004_001	तद्धर्माणामपि सुतरामितरेतरभाव अनुपपत्तिः
sp023-000005_001	इत्यतः अस्मत्प्रत्ययगोचरे विषयिणि चिदात्मके युष्मत्प्रत्ययगोचरस्य विषयस्य तद्धर्माणाम् च अध्यासः
sp023-000006_001	तद्विपर्ययेण विषयिणस्तद्धर्माणाम् च विषये अध्यासो मिथ्येति भवितुम् युक्तम्
sp023-000007_001	तथापि अन्योन्यस्मिन् अन्योन्य आत्मकताम् अन्योन्यधर्मांश्च अध्यस्य
sp023-000008_001	इतरेतर अविवेकेन अत्यन्तविविक्तयोर्धर्मधर्मिणोः मिथ्याज्ञाननिमित्तः सत्यानृते मिथुनीकृत्य अहमिदम् मम इदम् इति नैसर्गिकोऽयम् लोकव्यवहारः
sp023-000009_001	आह कोऽयम् अध्यासो नाम इति
sp023-000010_001	उच्यते स्मृतिरूपः परत्र पूर्वदृष्ट अवभासः
sp023-000011_001	तम् केचित् अन्यत्र अन्यधर्म अध्यास इति वदन्ति
sp023-000012_001	केचित्तु यत्र यत् अध्यासः तद्विवेक आग्रहनिबन्धनो भ्रम इति
sp023-000013_001	अन्ये तु यत्र यदध्यासः तस्यैव विपरीतधर्मत्वकल्पनामाचक्षते
sp023-000014_001	सर्वथापि तु अन्यस्य अन्यधर्मावभासताम् न व्यभिचरति
sp023-000015_001	तथा च लोके अनुभवः
sp023-000016_001	शुक्तिका हि रजतवदत् अवभासते
sp023-000017_001	एकश्चन्द्रः सद्वितीयवत् इति
sp023-000018_001	कथम् पुनः प्रत्यगात्मनि अविषये अध्यासो विषयस्तद्धर्माणाम्
sp023-000019_001	सर्वो हि पुरो अवस्थित एव विषये विषयान्तरमध्यस्यति
sp023-000020_001	युष्मत्प्रत्ययापेतस्य च प्रत्यगात्मनः अविषयत्वम् ब्रवीषि
sp023-000021_001	उच्यते न तावत् अयम् एकान्तेन अविषयः
sp023-000022_001	अस्मत्प्रत्ययविषयत्वात् अपरोक्षत्वाच्च प्रत्यगात्मप्रसिद्धेः
sp023-000023_001	न चायमस्ति नियमः पुरोऽवस्थिते एव विषये विषयान्तरमध्यसितव्यमिति
sp023-000024_001	अप्रत्यक्षेऽपि हि आकाशे बालाः तलमलिनतादि अध्यस्यन्ति
sp023-000025_001	एवम् अविरुद्धः प्रत्यगात्मन्यपि अनात्म अध्यासः
sp023-000026_001	तम् एतम् एवम् लक्षणम् अध्यासम् पण्डिता अविद्य इति मन्यन्ते
sp023-000027_001	तद्विवेकेन च वस्तुस्वरूप अवधारणम् विद्यामाहुः
sp023-000028_001	तत्रैवम् सति यत्र यदध्यासः तत्कृतेन दोषेण गुणेन वा अणुमात्रेणापि स न सम्बध्यते
sp023-000029_001	तम् एतम् अविद्याख्यम् आत्मानात्मनोरितरेतर अध्यासम् पुरस्कृत्य
sp023-000030_001	सर्वे प्रमाणप्रमेयव्यवहारा लौकिका वैदिकाश्च प्रवृत्ताः
sp023-000031_001	सर्वाणि च शास्त्राणि विधिप्रतिषेधमोक्षपराणि
sp023-000032_001	कथम् पुनः अविद्यावद्विषयाणि प्रत्यक्षादीनि प्रमाणानि शास्त्राणि च इति उच्यते
sp023-000033_001	देहेन्द्रियादिषु अहम् मम अभिमानरहितस्य प्रमातृत्व अनुपपत्तौ प्रमाणप्रवृत्त्य अनुपपत्तेः
sp023-000034_001	न हि इन्द्रियाणि अनुपादाय प्रत्यक्षादिव्यवहारः सम्भवति
sp023-000035_001	न च अधिष्ठानमन्तरेण इन्द्रियाणाम् व्यापारः सम्भवति
sp023-000036_001	न च अनध्यस्त आत्मभावेन देहेन कश्चिद्व्याप्रियते
sp023-000037_001	न च एतस्मिन् सर्वस्मिन्नसति असङ्गस्यात्मनः प्रमातृत्वमुपपद्यते
sp023-000038_001	न च प्रमातृत्वमन्तरेण प्रमाणप्रवृत्तिरस्ति
sp023-000039_001	तस्मात् अविद्यावद्विषयाण्येव प्रत्यक्षादीनि प्रमाणानि शास्त्राणि च इति
sp023-000040_001	पश्वादिभिश्च अविशेषात्
sp023-000041_001	यथा हि पश्वादयः शब्दादिभिः श्रोत्रादीनाम् सम्बन्धे सति
sp023-000042_001	शब्दादिविज्ञाने प्रतिकूले जाते ततो निवर्तन्ते
sp023-000043_001	अनुकूले च प्रवर्तन्ते
sp023-000044_001	यथा दण्डोद्यतकरम् पुरुषम् अभिमुखम् उपलभ्य माम् हन्तुम् अयमिच्छति इति पलायितुम् आरभन्ते
sp023-000045_001	हरिततृणपूर्णपाणिमुपलभ्य तम् प्रति अभिमुखीभवन्ति
sp023-000046_001	एवम् पुरुषा अपि व्युत्पन्नचित्ताः क्रूरदृष्टीनाक्रोशतः खड्गोद्यतकरान्बलवत उपलभ्य ततो निवर्तन्ते
sp023-000047_001	तद्विपरीतान्प्रति प्रवर्तन्ते
sp023-000048_001	अतः समानः पश्वादिभिः पुरुषाणाम् प्रमाणप्रमेयव्यवहारः
sp023-000049_001	पश्वादीनाम् च प्रसिद्धः अविवेकपूर्वकः प्रत्यक्षादिव्यवहारः
sp023-000050_001	तत्सामान्यदर्शनात् व्युत्पत्तिमतामपि पुरुषाणाम् प्रत्यक्षादिव्यवहारः तत्कालः समान इति निश्चीयते
sp023-000051_001	शास्त्रीये तु व्यवहारे यद्यपि बुद्धिपूर्वकारी न अविदित्वा आत्मनः परलोकसम्बन्धमधिक्रियते
sp023-000052_001	तथापि न वेदान्तवेद्यम् अशनायाद्यतीतम् अपेतब्रह्मक्षत्रादिभेदम् असंसारि आत्मतत्त्वम् अधिकारे अपेक्ष्यते
sp023-000053_001	अनुपयोगात् अधिकारविरोधाच्च
sp023-000054_001	प्राक् च तथाभूत आत्मविज्ञानात् प्रवर्तमानम् शास्त्रम् अविद्यावद्विषयत्वम् नातिवर्तते
sp023-000055_001	इत्यादीनि शास्त्राणि आत्मनि वर्ण आश्रमवयोऽवस्थादिविशेष आध्यासमाश्रित्य प्रवर्तन्ते
sp023-000056_001	अध्यासो नाम अतस्मिन् तद्बुद्धिरिति अवोचाम
sp023-000057_001	तद्यथा पुत्रभार्यादिषु विकलेषु सकलेषु वा अहमेव विकलः सकलो वेति बाह्यधर्मान् आत्मनि अध्यस्यति
sp023-000058_001	तथा देहधर्मान्
sp023-000059_001	तथा इन्द्रियधर्मान्
sp023-000060_001	मूकः काणः क्लीबो बधिरो अन्धो अहम् इति
sp023-000061_001	तथा अन्तःकरणधर्मान् कामसङ्कल्पविचिकित्सा अध्यवसायादीन्
sp023-000062_001	एवम् अहम्प्रत्ययिनम् अशेषस्वप्रचारसाक्षिणि प्रत्यगात्मनि अध्यस्य तम् च प्रत्यगात्मानम् सर्वसाक्षिणम् तद्विपर्ययेण अन्तःकरणादिषु अध्यस्यति
sp023-000063_001	एवम् अयम् अनादिरनन्तो नैसर्गिको अध्यासो मिथ्याप्रत्ययरूपः कर्तृत्वभोक्तृत्वप्रवर्तकः सर्वलोकप्रत्यक्षः
sp023-000064_001	अस्य अनर्थहेतोः प्रहाणाय आत्मैकत्वविद्याप्रतिपत्तये सर्वे वेदान्ता आरभ्यन्ते
sp023-000065_001	यथा च अयमर्थः सर्वेषाम् वेदान्तानाम् तथा वयम् अस्याम् शारीरकमीमांसायाम् प्रदर्शयिष्यामः
sp023-000066_001	वेदान्तमीमांसाशास्त्रस्य व्याचिख्यासितस्य इदम् आदिमम् सूत्रम्
sp023-000067_001	न अधिकारार्थः
sp023-000068_001	ब्रह्मजिज्ञासाया अनधिकार्यत्वात्
sp023-000069_001	मङ्गलस्य च वाक्यार्थे समन्वयाभावात्
sp023-000070_001	अर्थान्तरप्रयुक्त एव हि अथशब्दः श्रुत्या मङ्गलप्रयोजनो भवति
sp023-000071_001	पूर्वप्रकृतापेक्षायाश्च फलत आनन्तर्याव्यतिरेकात्
sp023-000072_001	सति च आनन्तर्यार्थत्वे यथा धर्मजिज्ञासा पूर्ववृत्तम् वेदाध्ययनम् नियमेना अपेक्षते
sp023-000073_001	एवम् ब्रह्मजिज्ञासापि यत्पूर्ववृत्तम् नियमेन अपेक्षते तद्वक्तव्यम्
sp023-000074_001	स्वाध्याय अनन्तर्यम् तु समानम्
sp023-000075_001	ननु इह कर्म अवबोधानन्तर्यम् विशेषः
sp023-000076_001	न धर्मजिज्ञासायाः प्रागपि अधीतवेदान्तस्य ब्रह्मजिज्ञास उपपत्तेः
sp023-000077_001	यथा च हृदयादि अवदानानाम् आनन्तर्यनियमः क्रमस्य विवक्षितत्वात् न तथेह क्रमो विवक्षितः
sp023-000078_001	शेषशेषित्वे अधिकृत अधिकारे वा प्रमाणाभावात्
sp023-000079_001	धर्मब्रह्मजिज्ञासयोः फलजिज्ञास्यभेदाच्च
sp023-000080_001	अभ्युदयफलम् धर्मज्ञानम् तच्च अनुष्ठानापेक्षम्
sp023-000081_001	निःश्रेयसफलम् तु ब्रह्मज्ञानम् न च अनुष्ठानान्तरापेक्षम्
sp023-000082_001	भव्यश्च धर्मो जिज्ञास्यो न ज्ञानकाले अस्ति
sp023-000083_001	पुरुषव्यापारतन्त्रत्वात्
sp023-000084_001	इह तु भूतम् ब्रह्म जिज्ञास्यम् नित्यत्वात् न पुरुषव्यापारतन्त्रम्
sp023-000085_001	चोदनाप्रवृत्तिभेदाच्च
sp023-000086_001	या हि चोदना धर्मस्य लक्षणम् सा स्वविषये नियुञ्जानैव पुरुषम् अवबोधयति
sp023-000087_001	ब्रह्मचोदना तु पुरुषम् अवबोधयत्येव केवलम् अवबोधस्य चोदनाजन्यत्वात्
sp023-000088_001	न पुरुषो अवबोधे नियुज्यते
