sp025-000001_001	ऋतुः परिवर्तते
sp025-000002_001	अस्मिन् वर्षे निदाघस्य तापः अपि अधिकः आसीत्
sp025-000003_001	परञ्च सुखदम् इदम् वृत्तम् यत् वर्षर्तुः काले एव सम्प्राप्तः
sp025-000004_001	देशस्य अनेकेषु स्थानेषु मूसलाधार वृष्टि कारणात् सुदिनानि सञ्जातानि
sp025-000005_001	वर्षायाः अनन्तरम् प्रवहमानैः शीतलैः मन्द समीरैः विगत दिनानाम् आतापात् मुक्तिः अनुभूयते
sp025-000006_001	अस्माभिः सर्वैः अपि अनुभूतम् यत् जीवने कियती अपि व्यग्रता भवेत्
sp025-000007_001	कियती अपि आततिः स्यात् भवतु नाम वैयक्तिकम् जीवनम् वा सार्वजनिकम् वर्षायाः आगमनम् हि अस्मदीयाम् मनसः स्थितिम् अपि परिवर्तयति
sp025-000008_001	साम्प्रतन्तु जगतः अपि केषुचित् स्थानेषु भगवतः जगन्नाथस्य रथयात्रा महोत्सवः आमान्यते
sp025-000009_001	अपि च भगवता जगन्नाथेन साकमेव राष्ट्रस्य निर्धनः संयुक्तोऽस्ति
sp025-000010_001	ये जनाः डा बाबा साहेब् अम्बेडकरस्य जीवनम् अधीतवन्तः ते नूनम् अनुभूतवन्तः यत् सः भगवतः जगन्नाथस्य मन्दिरम् एतदविषयिणीः परम्पराः च अतितराम् प्रशंसति स्म
sp025-000011_001	यतो हि अत्र सामाजिक न्यायः सामाजिकी च समरसता अन्तर्निहिते स्तः
sp025-000012_001	वस्तुतस्तु भगवान् जगन्नाथः निर्धनानाम् देवता
sp025-000013_001	तथा च आङ्ग्ल भाषायाम् एकः शब्दः अस्ति जुगर्नाट्
sp025-000014_001	मन्ये न्यूनाः एव अवगताः स्युः यद् अस्य अर्थः भवति
sp025-000015_001	एतादृशः भव्यः रथः यस्य गतिः अप्रतिहता भवति न कश्चन अपि एनम् अवरोद्धुम् पारयति
sp025-000016_001	जुगर्नाट् इति शब्दस्य शब्दकोशीयेन अर्थेण अपि ज्ञायते यत् जगन्नाथस्य रथ साम्यत्वेन जुगर्नाट् इति शब्दः समुद्भूतः
sp025-000017_001	अत एव वयम् अवगन्तुम् शक्नुमः यत् भगवतः जगन्नाथस्य यात्रैषा अशेष संसारेण स्व स्व प्रकारेण कियता महता माहात्म्येन च स्वीक्रियते
sp025-000018_001	भगवतो जगन्नाथस्य रथयात्रायाः शुभेऽस्मिन् अवसरे सर्वेभ्योऽपि राष्ट्रवासिभ्यः शुभ कामनाः वितरामि
sp025-000019_001	भगवतो जगन्नाथस्य श्रीचरणेषु अपि प्रणामाञ्जलीन् च निवेदयामि
sp025-000020_001	भारतस्य विविधता चास्ति भारतस्य शक्तिरपि
sp025-000021_001	रमजानस्य पवित्रमासः पवित्र भावैः प्रार्थनाभिः च सर्वे समाचरितवन्तः
sp025-000022_001	सम्प्रति वर्तते ईद् पर्व
sp025-000023_001	ईद् उल् फीतर् पर्वणः अवसरे मम पक्षतः सर्वेभ्यः भूरिशः मङ्गल कामनाः
sp025-000024_001	रमजान मासः पुण्य दानस्य मासत्वेन ख्याप्यते प्रसन्नतायाः वितरणस्य च मासः अस्ति
sp025-000025_001	यावन् मात्रिकम् प्रसन्नता वितरणम् भवति तावन्त्यः प्रसन्नताः विवर्धन्ते
sp025-000026_001	आगच्छन्तु वयम् सर्वे मिलित्वा एतेभ्यः पवित्र समुत्सवेभ्यः प्रेरणाम् आदाय प्रसन्नता प्रवाहान् वितरेम देशञ्च अग्रेसारयेम
sp025-000027_001	रमजानस्य पवित्र मासावधौ उत्तर प्रदेशस्य बिजनौरस्य मुबारकपुर ग्रामस्य एका महती प्रेरिका घटना मम दृष्टिपथम् आगता
sp025-000028_001	रमजान मासावधौ ग्रामवासिनः मिलित्वा शौचालयानाम् निर्माणार्थम् निर्णीतवन्तः
sp025-000029_001	एतेभ्यः ग्रामवासिभ्यः प्रायेण सप्त दश लक्ष रूप्यकाणि साहाय्य रूपेण प्रदत्तानि
sp025-000030_001	एतद् ज्ञात्वा भवन्तः सुखदम् आश्चर्यम् आनन्दम् चापि अनुभविष्यन्ति
sp025-000031_001	अस्मदीयाः सर्वेऽपि मुस्लिम भ्रातरः भगिन्यः च
sp025-000032_001	रमजान मासावधौ सर्वकाराय ताम् सप्तदश लक्ष रूप्यकात्मिकाम् राशिम् परावर्तितवन्तः
sp025-000033_001	अपि च ते एवम् उक्तवन्तः यद् वयम् स्वश्रमेण स्वीय रूप्यकैः एव निज शौचालयान् निर्मास्यामः
sp025-000034_001	सप्त दश लक्ष रूप्यकात्मिका एषा राशिः ग्रामस्य अन्य सौविध्यार्थम् उपयुक्तः स्यात्
sp025-000035_001	रमजानस्य पवित्रावसरः समाजस्य लाभार्थम् तैः उपयुक्तः इति कृत्वा अहम् मुबारकपुरस्य सर्वान् अपि ग्रामवासिनः अभिनन्दामि
sp025-000036_001	तेषाम् प्रत्येकमपि निर्णयः अतितराम् प्रेरकः अस्ति
sp025-000037_001	अपि च सर्वतो अधिकतरम् अवधेयमिदम् यत् तैः मुबारकपुरम् अनावृत शौचाचरणात् मुक्तम् विहितम्
sp025-000038_001	वयम् जानीमः यत् सिक्किम् हिमाचल् केरळ् इति राज्य त्रयम् पूर्वतः एव अनावृत शौचाचरणात् मुक्तम् घोषितम्
