sp027-000001_001	पायस प्रहसनम्
sp027-000002_001	पतिः गृहम् प्रविशन् नन्दिनि भोः नन्दिनि
sp027-000003_001	किम् भोः
sp027-000004_001	किमर्थम् तावदुच्चैः आह्वयति भवान्
sp027-000005_001	पतिः नन्दिनि पश्यतु किम् आनीतवान् अस्मि इति
sp027-000006_001	किम् आनीतवान् भवान्
sp027-000007_001	पतिः भवती एव पश्यतु
sp027-000008_001	स्यूतम् पत्न्यै ददाति
sp027-000009_001	स्यूतम् उद्घाट्य
sp027-000010_001	भोः गुडः मुद्गधान्यम् च
sp027-000011_001	अहो एला अपि अस्ति
sp027-000012_001	एतत्सर्वम् कथम् आनीतवान् भवान्
sp027-000013_001	पतिः हा हन्त
sp027-000014_001	महान् परिश्रमः कृतः मया
sp027-000015_001	एतत्सर्वम् किमर्थम् आनीतवान् भवान्
sp027-000016_001	पतिः जानती अपि पृच्छति खलु भवती
sp027-000017_001	अतः पायसनिर्माणार्थम् एतत्सर्वम् आनीतवानस्मि
sp027-000018_001	पत्नी
sp027-000019_001	तर्हि अहम् पाकस्य आरम्भम् करवाणि
sp027-000020_001	पतिः करोतु शीघ्रम् करोतु
sp027-000021_001	पायसम् सज्जम्
sp027-000022_001	आगच्छतु भोः
sp027-000023_001	पतिः पायसम् सज्जम्
sp027-000024_001	अत्रैव आनयतु तावत्
sp027-000025_001	सम्यक् उपविश्य पिबाम
sp027-000026_001	पतिः कटम् प्रसारयति
sp027-000027_001	चषकद्वयम् आनयति
sp027-000028_001	पायसम् चषकद्वयपरिमितमेव अस्ति
sp027-000029_001	पतिः भवतु नाम
sp027-000030_001	एकैकेन एकचषकपरिमितम् पायसम् तु प्राप्यते एव
sp027-000031_001	एषः एव महते सन्तोषाय
sp027-000032_001	पायसम् पिबाम तावत्
sp027-000033_001	पायसम् सुखोष्णमस्ति
sp027-000034_001	पतिः अहो एलायाः सुगन्धः
sp027-000035_001	द्वारे शब्दः
sp027-000036_001	अये कोऽपि आगतवान् इति मन्ये
sp027-000037_001	पतिः कोऽयम् वराकः
sp027-000038_001	सः अन्तः आगच्छति चेत्
sp027-000039_001	पतिः अनन्यगतिकतया तस्मै अपि पायसम् दातव्यम् भविष्यति
sp027-000040_001	किम् करवाम इदानीम्
sp027-000041_001	अतिथिः प्रविश्य भोः महाशय
