sp004-000001_KS_11	aByarTyeti
sp004-000002_KS_11	surendrapramuKEH indrAdiBiH samagrEH samastEH vibuDEH devEH upetya samIpam Agatya
sp004-000003_KS_11	prahvEH namrEH sadBiH aByarTyamAnA yAcyamAnA surApagA mandAkinI
sp004-000004_KS_11	ASu SIGram mUrtA mUrtimatI satI
sp004-000005_KS_11	tam kumAram suDayA dugDAmftena atipUrRam bahuBftam svam AtmIyam stanam pAyayAmAsa pAnam kAritavatI
sp004-000006_KS_11	sargeऽsmin vfttam upajAtiH
sp004-000007_KS_11	pibanniti
sp004-000008_KS_11	saH kumAraH tasyAH mandAkinyAH stanayoH sambanDinam suDOGam dugDAmftasamUham piban
sp004-000009_KS_11	ata eva kzaRaNkzaRam pratikzaRam sADu yaTA syAt taTA sameDamAnaH samyak varDamAnaH
sp004-000010_KS_11	zaqBiH kfttikABiH etya nizevyamARaH SriyamARaSca san
sp004-000011_KS_11	kAmapi lokottarAm Akftim prAptavAn
sp004-000012_KS_11	Kalu vAkyAlaNkAre Kalu syAt vAkyaBUzAyAm iti viSvaH
sp004-000013_KS_11	BAgIraTIti
sp004-000014_KS_11	AnandabAzpEH AkulalocanAnAm vyAptanetrARAm
sp004-000015_KS_11	pAvakaSca kfttikASca pAvakakfttikAH
sp004-000016_KS_11	BAgIraTyA gaNgayA sahitA yAH pAvakakfttikAH
sp004-000017_KS_11	tAsAm sambanDi divyam lokottarasvarUpam tam nandanam
sp004-000018_KS_11	putram upAttum grahItum parasparam anyonyam prOQataraH atiSayitaH vivAdaH kalahaH AsIt
sp004-000019_KS_11	mamAyam mamAyamiti pravAdapUrvakaH kalirbaBUvetyarTaH
sp004-000020_KS_11	atrAntara iti
sp004-000021_KS_11	atrAntare kalahAvasare SivaH parvatarAjaputryA pArvatyA samam saha svEravihAro yaTecCavihAraH
sp004-000022_KS_11	tasmAdDetoH kAraRAt manaH ativegena cetasoऽpi atiSayajavena vimAnena naBaH
sp004-000023_KS_11	antarikzam vigAhamAnaha avaloqayan tatra kalahasTAne jagAma prApa
sp004-000024_KS_11	nisargeti
sp004-000025_KS_11	girijAgirISO nisargeRa svaBAvena yadvAtsalyam dayAvattvam tasya vaSAt hetoH
sp004-000026_KS_11	vivfdDaH pravfdDaH pramodaH harzaH yayostaTABUtO
sp004-000027_KS_11	ata eva galadaSruRI pravahadbAzpe netre yayoH taTABUtO santO
sp004-000028_KS_11	zaqdinAni janmadinAdAraBya ityarTaH
sp004-000029_KS_11	jAtAni vyatItAni yasya saH zaqdinajAtaH
sp004-000030_KS_11	sa eva zaqdinajAtamAtraH tam zaqAnanam zaRmuKam tam kumAram apaSyatAm dfzwavantO
sp004-000031_KS_11	aTeti
sp004-000032_KS_11	aTa darSanAnantaram devI BavAnI
sp004-000033_KS_11	purastAt ayam kaH
sp004-000034_KS_11	aTavA kasya Danyatamasya puMso divyavapuH AditeyasadfSavigrahaH SiSuH bAlaH
sp004-000035_KS_11	putra iti yAvat
sp004-000036_KS_11	asya SiSoH mAtA jananI kA
