sp006-000001_GB_00-00	SANkaraBAzyam
sp006-000002_GB_00-00	marIcyAdIn agre sfzwvA prajApatIn pravfttilakzaRam Darmam grAhayAmAsa vedoktam
sp006-000003_GB_00-00	dviviDo hi vedokto DarmaH pravfttilakzaRo nivfttilakzaRaSca
sp006-000004_GB_00-00	dIrGeRa kAlena
sp006-000005_GB_00-00	anuzWAtFRAm kAmodBavAt hIyamAnavivekavijYAnahetukena aDarmeRa aBiBUyamAne Darme
sp006-000006_GB_00-00	pravarDamAne ca aDarme jagataH sTitim paripipAlayizuH sa AdikartA nArAyaRAKyo vizRuH
sp006-000007_GB_00-00	brAhmaRatvasya hi rakzaRena rakzitaH syAt vEdiko DarmaH tadaDInatvAt varRASramaBedAnAm
sp006-000008_GB_00-00	ajaH avyayo BUtAnAmISvaro nityaSudDabudDamuktasvaBAvaH api san svamAyayA dehavAniva jAta iva ca lokAnugraham kurvan iva lakzyate
sp006-000009_GB_00-00	guRADikEH hi gfhItaH anuzWIyamAnaSca DarmaH pracayam gamizyatIti
sp006-000010_GB_00-00	tam Darmam BagavatA yaTopadizwam vedavyAsaH sarvajYo BagavAn gItAKyEH saptaBiH SlokaSatEH upanibabanDa
sp006-000011_GB_00-00	tadarTAvizkaraRAya anekEH vivftapadapadArTavAkyArTanyAyamapi atyantavirudDAnekArTavatvena lOkikEH gfhyamARam upalaBya
sp006-000012_GB_00-00	aham vivekataH arTanirDAraRArTam saNkzepato vivaraRam karizyAmi
sp006-000013_GB_00-00	tasya asya gItASAstrasya saNkzepataH prayojanam param niHSreyasam sahetukasya saMsArasya atyantoparamalakzaRam
sp006-000014_GB_00-00	taTA imameva gItArTa Darmam uddiSya BagavatA eva uktam
sp006-000015_GB_00-00	sa hi DarmaH suparyApto brahmaRaH padavedane iti anugItAsu
sp006-000016_GB_00-00	kiYca anyadapi tatrEva uktam
sp006-000017_GB_00-00	iha api ca ante uktam arjunAya
sp006-000018_GB_00-00	san ISvarArpaRabudDyA anuzWIyamAnaH sattvaSudDaye Bavati PalABisanDivarjitaH
sp006-000019_GB_00-00	taTA ca imam evArTam aBisanDAya vakzyati
sp006-000020_GB_00-00	yoginaH karma kurvanti saNgam tyaktvAtmaSudDaye
sp006-000021_GB_00-00	aBivyaYjayat viSizwaprayojanasambanDABiDeyavat gItASAstram
sp006-000022_GB_00-00	yataH tadarTe vijYAte samastapuruzArTasidDiH ataH tadvivaraRe yatnaH kriyate mayA
sp006-000023_GB_02	iti etadantaH prARinAm SokamohAdisaMsArabIjaBUta dozodBavakAraRapradarSanArTatvena vyAKyeyo granTaH
sp006-000024_GB_02	taTAhi arjunena rAjyaguruputramitrasuhftsvajanasambanDibAnDavezu aham ezAm mama ete
sp006-000025_GB_02	ityevam BrAntipratyayanimittasnehavicCedAdinimittO AtmanaH SokamohO pradarSitO
sp006-000026_GB_02	SokamohAByAm hi aBiBUtavivekavijYAnaH svata eva kzAtraDarme yudDe pravfttaH api tasmAt yudDAt upararAma
sp006-000027_GB_02	paraDarmam ca BikzAjIvanAdikam kartum pravavfte
sp006-000028_GB_02	taTA ca sarvaprARinAm SokamohAdidozAvizwacetasAm svaBAvata eva svaDarmaparityAgaH pratizidDasevA ca syAt
sp006-000029_GB_02	svaDarme pravfttAnAmapi tezAm vANmanaHkAyAdInAm pravfttiH PalABisanDipUrvikA eva sAhaNkArA ca Bavati
sp006-000030_GB_02	tatra evam sati DarmADarmopacayAt izwAnizwajanmasuKaduHKa samprAptilakzaRaH saMsAraH anuparato Bavati
sp006-000031_GB_02	ityataH saMsArabIjaBUtO SokamohO tayoSca sarvakarmasannyAsapUrvakAt AtmajYAnAt nAnyato nivfttiH iti
sp006-000032_GB_02	tadupadidikzuH sarvalokAnugrahArTam arjunam nimittIkftya Aha BagavAnvAsudevaH
sp006-000033_GB_02	aSocyAn ityAdi
sp006-000034_GB_02	tatra kecidAhuH sarvakarmasannyAsapUrvakAt AtmajYAnanizWAmAtrAdeva kevalAt kEvalyam na prApyate eva
sp006-000035_GB_02	kim tarhi agnihotrAdiSrOtasmArtakarmasahitAt jYAnAt kEvalyaprAptiH iti sarvAsu gItAsu niScitaH arTa iti
sp006-000036_GB_02	jYApakam ca AhuH asya arTasya
sp006-000037_GB_02	hiMsAdiyuktatvAt vEdikam karma aDarmAya itIyamapi ASaNkA na kAryA
sp006-000038_GB_02	kaTam
sp006-000039_GB_02	kzAtram karma yudDalakzaRam guruBrAtfputrAdihiMsAlakzaRam atyantam krUramapi svaDarmaH iti kftvA na aDarmAya
sp006-000040_GB_02	tadakaraRe ca
