sp008-000001_SR_01	sa mAtuH pArSvam prAptaH
sp008-000002_SR_01	mAtuScaraRarajAMsi tena mastake liptAni uktam ca mAtaH ahamAgataH iti
sp008-000003_SR_01	mAtAऽbrUta putraka tvAmeva pratIkzamARAsmi
sp008-000004_SR_01	yamarAja AgacCati
sp008-000005_SR_01	ahamapi prodyatAsmi
sp008-000006_SR_01	pUrvamapi sa prApta eva kintu mayA prArTito manAg virama AgacCatu mama nArAyaRa iti
sp008-000007_SR_01	rAmadAso mAtuH SiraH svakIye kroqeऽDArayat muKe gaNgAjalamapAtayat tulasIpatram carvitam
sp008-000008_SR_01	rAmadAsam nirnimezam paSyantyA nArAyaRa nArAyaRa nArAyaRa iti japantyA ca tayA ihalokalIlA samApitA
sp008-000009_SR_01	rAmadAsoऽpi caturdaSa divasAn grAma eva vyatItavAn
sp008-000010_SR_01	aTa rAmeSvaraDAma prati pratasTe
sp008-000011_SR_01	mArge tena sTAne sTAne mArutimandirARi sTApitAni tezAm maWADipatayaSca niyojitAH
sp008-000012_SR_01	vyAyAmaSAlA api sTApitAH
sp008-000013_SR_01	SivAjinA aPajalaKA mftyunA carvitaH avaraNgajebasya nigrahAcca AtmA mocitaH
sp008-000014_SR_01	mahadidam kAryadvayam
sp008-000015_SR_01	SivAjIrAjyArohaRam rAmadAsasya mahate pramodAyAkalpata
sp008-000016_SR_01	ete prasaNgA rAmadAsEH svayamaBaNgEH upanibadDAH
sp008-000017_SR_01	aPajalaKAnasya grIvA vyAGranaKEH dviDA KaRqitA SivAjivIrEriti
sp008-000018_SR_01	mahatA saMramBeRa vyAsaH ambikAdattaH SivarAjyodayagadye nibabanDa
sp008-000019_SR_01	saKyasampAdanAya jayapurADipatinAऽऽkAritaH SivAjiH dillIdurgam prApa
sp008-000020_SR_01	tatra avaraNgajebastam nijagrAha
sp008-000021_SR_01	aTa kaTayanti mizwAnnapewakezu niBftaH SivAjiH durgAt bahirAgataH ityeke
sp008-000022_SR_01	jayapurADISasya sEnikAstatra niBftam sAhAyyamAcaran iti cApare
sp008-000023_SR_01	duryoDanoऽpi SAntidUtatayA upasTitam SrIkfzRam nigrahItum AdideSa
sp008-000024_SR_01	kintu SrIkfzRasya ESvaryaSaktyA nASaknot tam nigrahItum
sp008-000025_SR_01	evam alAbuddInaKiljiH citidurgasTam rARABImasiMham Calena nijagrAha
sp008-000026_SR_01	gOrasiMhaH tadBrAtfvyo bAdalaH jAlimasiMhAnAm cAturyeRa tu sa dillIdurgAt bahirAgantumaSakat
sp008-000027_SR_01	pfTvIrAjo gajanISamasakft tatyAja
sp008-000028_SR_01	tena puna nigfhItaH pfTivIrAjaH cakzuzostaptAni SUlAni niveSya paSumAram mArayitumizwaH
sp008-000029_SR_01	iyam hi SukranItiH yavanEH ASiSriye
sp008-000030_SR_01	svapnaH satyo jAtaH sa pratyakzam dfzwaH
sp008-000031_SR_01	yadfcCayA Bramitoऽpi Anandavanam prAptaH
sp008-000032_SR_01	viGnAnapAkftya Darmasya svasya jayaH Kalu dfzwaH
sp008-000033_SR_01	atra varttate kartA DartA gaRapatidevaH sAkzAt
sp008-000034_SR_01	sAkzAnmArutireva yena te sarve viGnA DvastAH
sp008-000035_SR_01	rAmakfpeyam sAkzAt nAnyat kimapyatra bata mUlam ityAdiBiH
sp008-000036_SR_01	sadASivaSAstrigarvApahAraH
sp008-000037_SR_01	sadASivaSAstrI yevalekara iti kaScinmahAn zawSAstrajYaH kASIsTo vidvAn sa SAstrArTe nitAntam pawuH
sp008-000038_SR_01	ekadA rAmadAsasvAminaH ASramam upeyAya avocacca rAmadAsoऽtra kaH
sp008-000039_SR_01	SizyEravoci upari SilAyAm DyAnasTaH sa mahAnAtmAऽsti rAmadAsa iti boDyaH
sp008-000040_SR_01	sa svAminAऽByanandi
sp008-000041_SR_01	prayojanam pfzwaSca SAstrArTamayAcata
sp008-000042_SR_01	tadAnImeva ekaH kAzWaBAravahaH SizyaH prAptaH
sp008-000043_SR_01	rAmadAsasvAmiBiH pfzwam koऽsi tvamiti
sp008-000044_SR_01	soऽbrUta SUdroऽhamiti
sp008-000045_SR_01	svAmI tasya puro reKAmekAm cakarza
sp008-000046_SR_01	tam SUdramAdideSa etAmullaNGyeti
sp008-000047_SR_01	ullaNGitavAn pfzwaH koऽsi tvamiti
sp008-000048_SR_01	vESyoऽsmIti dattottarasya pramuKe dvitIyAm reKAm kftavanto rAmadAsAH tAmullaNGayitum AdidiSuH
sp008-000049_SR_01	ullaNGitaH sa pfzwaH koऽsi tvamiti sa svam kzatriyamUcivAn
sp008-000050_SR_01	aTa tasya pramuKe reKAntaram kftavAn tadullaNGitam tam pfzwavAn koऽsi tvamiti
sp008-000051_SR_01	sa udatarat asmyaham zawSAstravit vidvAn Srotriyo brAhmaRa iti
sp008-000052_SR_01	svAmI tamapfcCat api BavAn kartA SAstrArTam iti
sp008-000053_SR_01	omityUcivAMsam tamayojayat sadASivaSAstriRA SAstrArTAya
sp008-000054_SR_01	daSa praSnAn sa upAsTApayat
sp008-000055_SR_01	sadASivaSAstrI tezAm paYca samyak samAdaDe agre ca tUzRIm tasTO
sp008-000056_SR_01	harzotPulla SrotfsamudAyo rAmadAsasvAmino jayamujjuGoza
sp008-000057_SR_01	SAstrI sa namro BUtvA sidDasyAsya mahAtmanaScaraRO jagrAha SizyaSca jAtaH
sp008-000058_SR_01	mahAprayARam
sp008-000059_SR_01	yISusamvatsarasTa UnASItyuttara zoqaSatame varze pOzamAse SivAjiH sajjanagaQam prAptaH
sp008-000060_SR_01	paYcacatvAriMSaddinAni sa tatra nyuvAsa
sp008-000061_SR_01	asminnavaDO SivAjiH nirvikalpam samADimanvaBUt
sp008-000062_SR_01	mAGapUrRimAyAm gurucaraRarajAMsi tilakIkftya SivAjiH prati prasTitaH
sp008-000063_SR_01	aTa cEtrapUrRimAyAH aSItyuttara zoqaSatame yISuvatsare sa param lokam yayO
sp008-000064_SR_02	vfttamimam SrutvA rAmadAsaH svAmI Bavannapi nitAntam cetasi pIqAmanubaBO
sp008-000065_SR_02	tanmuKAcCabdAH nissasruH SrIjIcCA rAmecCA ISvarecCA balIyasI iti
