sp014-000001_001	vayam idAnIm paScAttApapIqitAH smaH
sp014-000002_001	ityAdikam kaTayitvA ante kintu BavatA beNgalUrunagaram arpaRIyam
sp014-000003_001	SivarAjena koRqARadurgam yat vaSIkftam tadapi arpaRIyam iti niyamam sUcitavAn
sp014-000004_001	SahAjaye ezaH prastAvaH sarvaTA na arocata
sp014-000005_001	kintu anyaH mArgaH na AsIt
sp014-000006_001	idAnIm koRqARadurgam dattam cedapi agre SivarAjaH punaSca sAhasena tat
sp014-000007_001	koRqARadurgam pratidAtavyam ityetasya vacanasya SravaRamAtreRa eva SivarAjasya manomandiram udDvastam aBavat
sp014-000008_001	saH nitarAm duHKitaH aBavat
sp014-000009_001	vayovfdDam sacivam sonopantaqabIravaryam AhUya saH svasya hfdayavedanAm prakawayan
sp014-000010_001	adyAvaDi mama pitA mAm samyak na avagatavAneva
sp014-000011_001	svayam anavaDAnena SatruhastagataH aBavat saH
sp014-000012_001	kim ezaH dAyitvapUrRaH vyavahAraH iti pfzwavAn
sp014-000013_001	tat SrutvA sonopantaqabIraH AScaryacakitaH aBavat
sp014-000014_001	anukzaRam saH kaWorasvareRa SivarAjam uddiSya mahArAja jyezWAnAm nindanam pApakaram
sp014-000015_001	anavaDAnena saH SatruhastagataH aBavat iti tu satyam
sp014-000016_001	kintu tasya vimocanArTam koRqARadurgasya dAnam na mahAn vizayaH
sp014-000017_001	BavataH pituH yAvat mUlyam tatoऽpi aDikam mUlyam koRqARadurgasya nAsti
sp014-000018_001	punaSca tat jetum Sakyam
sp014-000019_001	na kevalam tAvat parAkramiRA puruzeRa samagrA pfTvI eva jetum SakyA iti uktavAn
sp014-000020_001	pitftulyasya sonopantavaryasya vacanEH udvignasya SivarAjasya manaH SAntam aBavat
sp014-000021_001	saH svasya dozam avagatavAn
sp014-000022_001	anukzaRam saH mayA dozaH AcaritaH
sp014-000023_001	pituH vizaye kftasya avamAnanasya pratIkAram sADayizyAmi eva
sp014-000024_002	catvAri varzARi yAvat durgARAm samIkaraRAya kfzeH udyogasya ca saMvarDanAya ca saH vyavasTAm kAritavAn
sp014-000025_002	gobrAhmaRa pratipAlakaH iti sarvatra SivarAjasya KyAtiH prasftA aBavat
sp014-000026_002	banDavimuktaH SahAjirAjaH svasya nizWAvantO gaRanAyakO kAnhojijeDe dAdAjilohakaranAmakO SivarAjasya sevAyE prezitavAn
sp014-000027_002	kAnhojiH SivarAjasya sevAkaraRena eva DanyatABAvam anuBavati sma
sp014-000028_002	svasya asImaH parAkramaH svarAjyasevAyE samarpitaH iti kAraRataH saH api tfptaH AsIt
sp014-000029_002	tasmin eva samaye svarAjyasya garBagfhAyamARam jAvaLIpradeSam SivarAjaH vaSIkftavAn
sp014-000030_002	jAvaLIpradeSasya durgamAraRye SivarAjaH ajeyam durgamekam nirmAtum izwavAn
sp014-000031_002	nirmARadAyitvam moropantapiNgaLevaryAya dattam
sp014-000032_002	tadA eva purandaradurgam SivarAjasya hastagatam aBavat
sp014-000033_002	sUpApradeSasya vaSIkaraRam api SivarAjasya nyAyanizWuratAyAH sva rAjyanizWAyAH ca nidarSanam asti
sp014-000034_002	samBAjimohitenAmakaH SivarAjasya mAtulaH
sp014-000035_002	janEH saha sarvadA durvyavahAraH tasya
sp014-000036_002	tasya grAmaH SivarAjasya aDikArakzetre eva AsIt
sp014-000037_002	mohitedvArA pIqitaH timmAjIkulkarRinAmakaH SahAjirAjasya samIpam gatvA mohitevaryasya durvyavahArAn niveditavAn
sp014-000038_002	SahAjiH timmAjeH kfte nyAyadAnam karotu iti patram liKitvA putrAya prezitavAn
sp014-000039_002	pituH patrasya prAptitaH pUrvameva samBAjimohitevaryasya durvyavahAram damayitum SivarAjaH citAn sEnikAn svIkftya gatavAnAsIt
sp014-000040_002	nAyakasya putraH AgataH ityataH durgarakzakAH tam AdareRa eva antaH prezitavantaH
sp014-000041_002	mAtulasya banDanam kftvA SivarAjaH tadIyam durgam vaSIkftavAn
sp014-000042_002	anantaram AdarapUrvakam mAtulam banDavimuktam kftvA SahAjisamIpam prezitavAn
